,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Minority Interest
2020-12-31,444854000.0,5998574000.0,23704518000.0,8760669000.0,1841517000.0,32465187000.0,2652000.0,69821000.0,5562775000.0,500912000.0,809480000.0,-2803332000.0,1035255000.0,3684474000.0,4537121000.0,909912000.0,-739341000.0,25846580000.0,4311747000.0,17271000.0,7506335000.0,284149000.0,17941100000.0,118703000.0,353422000.0,
2019-12-31,488575000.0,3493959000.0,17586457000.0,12163846000.0,3523013000.0,30320284000.0,2365000.0,21751000.0,11523326000.0,553642000.0,1385644000.0,-2855804000.0,1129063000.0,243738000.0,7952896000.0,1153025000.0,-797713000.0,26154363000.0,1162628000.0,11000.0,10289627000.0,305821000.0,8281581000.0,162107000.0,563706000.0,569981000.0
2018-12-31,502103000.0,3420900000.0,16050789000.0,11105461000.0,3227313000.0,27698270000.0,2358000.0,19565000.0,10263282000.0,542787000.0,1378353000.0,-2581079000.0,1086089000.0,287852000.0,7112165000.0,1646841000.0,-627734000.0,23466163000.0,1242044000.0,23518000.0,9225005000.0,324507000.0,8264893000.0,153573000.0,488212000.0,542020000.0
2017-12-31,7900000.0,3390117000.0,11658623000.0,10702303000.0,2355755000.0,22360926000.0,2352000.0,99320000.0,9022405000.0,406304000.0,288512000.0,-1712571000.0,1418927000.0,120112000.0,4854873000.0,1188514000.0,-334265000.0,19735180000.0,907637000.0,10670000.0,10413791000.0,318641000.0,6397446000.0,111393000.0,360113000.0,
