,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt,Short Term Investments
2021-03-31,22369000000.0,3569548000000.0,826466000000.0,75067000000.0,909236000000.0,4471081000000.0,251441000000.0,199681000000.0,550245000000.0,375577000000.0,2411000000.0,159539000000.0,205290000000.0,1051422000000.0,159536000000.0,7415000000.0,3339837000000.0,739715000000.0,231990000000.0,826466000000.0,269489000000.0,2142549000000.0,65255000000.0,142186000000.0,,
2020-03-31,22390000000.0,3458922000000.0,792242000000.0,71935000000.0,471081000000.0,4323099000000.0,251441000000.0,108450000000.0,542187000000.0,401896000000.0,-23776000000.0,159571000000.0,244010000000.0,1001724000000.0,159568000000.0,-17212000000.0,3309334000000.0,644017000000.0,210177000000.0,792242000000.0,224183000000.0,2055302000000.0,67374000000.0,144616000000.0,378511000000.0,
2019-03-31,22558000000.0,3424923000000.0,763180000000.0,70530000000.0,470338000000.0,4258633000000.0,251441000000.0,148276000000.0,499132000000.0,399124000000.0,-9951000000.0,162701000000.0,178729000000.0,993693000000.0,162696000000.0,-3163000000.0,3245532000000.0,637635000000.0,212765000000.0,763180000000.0,231841000000.0,2032106000000.0,78789000000.0,141197000000.0,334930000000.0,
2018-03-31,22433000000.0,3423458000000.0,731318000000.0,67387000000.0,464481000000.0,4222163000000.0,251441000000.0,191671000000.0,472718000000.0,366248000000.0,-15274000000.0,118212000000.0,187905000000.0,1011175000000.0,118208000000.0,-8173000000.0,3162409000000.0,719615000000.0,221927000000.0,731318000000.0,211903000000.0,2046035000000.0,70196000000.0,143999000000.0,377894000000.0,57940000000.0
