,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Deferred Long Term Liab,Other Current Assets,Short Long Term Debt
2020-03-31,180775000000.0,85279000000.0,2871754000000.0,484670000000.0,805000000.0,9364000000.0,3357229000000.0,75929000000.0,384182000000.0,217898000000.0,283000000.0,-60720000000.0,47917000000.0,109761000000.0,240291000000.0,47910000000.0,2161000000.0,46979000000.0,2859339000000.0,221936000000.0,303612000000.0,2614198000000.0,2413565000000.0,135380000000.0,230927000000.0,,,
2019-03-31,218887000000.0,85642000000.0,2720724000000.0,490998000000.0,743000000.0,3120000000.0,3212465000000.0,75929000000.0,360303000000.0,199057000000.0,1085000000.0,-30876000000.0,32154000000.0,82642000000.0,317849000000.0,32148000000.0,22005000000.0,29341000000.0,2667197000000.0,263801000000.0,271026000000.0,2433170000000.0,2203818000000.0,151385000000.0,314729000000.0,,,
2018-03-31,210605000000.0,85634000000.0,2459360000000.0,479127000000.0,1540000000.0,74308000000.0,2940027000000.0,75929000000.0,334698000000.0,129878000000.0,,-17134000000.0,21539000000.0,74612000000.0,1085865000000.0,8402000000.0,35746000000.0,76490000000.0,2395849000000.0,235544000000.0,268522000000.0,2166370000000.0,1242299000000.0,103587000000.0,295523000000.0,1620000000.0,51280000000.0,75300000000.0
2017-03-31,200622000000.0,85634000000.0,2273170000000.0,445063000000.0,1818000000.0,67598000000.0,2720051000000.0,75929000000.0,302087000000.0,127433000000.0,,-18587000000.0,34140000000.0,63266000000.0,1016629000000.0,21397000000.0,34292000000.0,71150000000.0,2207412000000.0,206727000000.0,244441000000.0,2001201000000.0,1127899000000.0,102844000000.0,238190000000.0,1484000000.0,40101000000.0,119885000000.0
