,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-03-31,1709511000000.0,-133915000000.0,8084694000000.0,1000546000000.0,707018000000.0,1353029000000.0,9792258000000.0,204309000000.0,207529000000.0,1003554000000.0,317114000000.0,618636000000.0,-73402000000.0,55904000000.0,1143808000000.0,4496609000000.0,55904000000.0,768522000000.0,-4693000000.0,2220552000000.0,3364303000000.0,1823352000000.0,-1327601000000.0,66643000000.0,1802983000000.0,2597277000000.0,96896000000.0,1253766000000.0
2019-03-31,1046010000000.0,202685000000.0,4510590000000.0,1247093000000.0,17362000000.0,265886000000.0,5775045000000.0,204309000000.0,38493000000.0,893880000000.0,84818000000.0,198461000000.0,-53781000000.0,36611000000.0,357971000000.0,2046275000000.0,36611000000.0,470451000000.0,-53781000000.0,1657254000000.0,1756322000000.0,1080387000000.0,2622000000.0,1652000000.0,1188182000000.0,1652300000000.0,114321000000.0,817532000000.0
2018-03-31,1044908000000.0,175005000000.0,4429207000000.0,718134000000.0,4144000000.0,240370000000.0,5151485000000.0,197694000000.0,142517000000.0,339692000000.0,103958000000.0,186069000000.0,5743000000.0,114219000000.0,90128000000.0,3359357000000.0,114219000000.0,,5743000000.0,1700441000000.0,1519647000000.0,586201000000.0,-512843000000.0,5669000000.0,1171822000000.0,965892000000.0,109511000000.0,862786000000.0
2017-03-31,713038000000.0,963924000000.0,3145267000000.0,1538814000000.0,6967000000.0,264944000000.0,4691048000000.0,177251000000.0,93690000000.0,397788000000.0,116989000000.0,186069000000.0,-149000000.0,124385000000.0,49735000000.0,2042458000000.0,124385000000.0,,-149000000.0,1803665000000.0,1382504000000.0,481387000000.0,639707000000.0,59426000000.0,1107597000000.0,985820000000.0,72056000000.0,750270000000.0
