,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable
2020-03-31,216388000000.0,18904000000.0,1003175000000.0,988449000000.0,7293000000.0,236702000000.0,1998917000000.0,40000000000.0,40993000000.0,1067492000000.0,139040000000.0,383163000000.0,-137947000000.0,27935000000.0,421253000000.0,511733000000.0,27931000000.0,24551000000.0,-24703000000.0,350430000000.0,829979000000.0,191022000000.0,388898000000.0,40119000000.0,327614000000.0,112148000000.0,219021000000.0
2019-03-31,242583000000.0,49136000000.0,776732000000.0,965775000000.0,6475000000.0,260532000000.0,1748982000000.0,10000000000.0,38939000000.0,942449000000.0,141926000000.0,410651000000.0,-35810000000.0,27454000000.0,402911000000.0,497594000000.0,27451000000.0,24869000000.0,-3432000000.0,74566000000.0,809007000000.0,184721000000.0,312541000000.0,26903000000.0,340254000000.0,137212000000.0,212193000000.0
2018-03-31,229230000000.0,50115000000.0,733372000000.0,835605000000.0,5055000000.0,219528000000.0,1574032000000.0,10000000000.0,38160000000.0,811287000000.0,126597000000.0,312944000000.0,-35797000000.0,35595000000.0,389822000000.0,447768000000.0,35590000000.0,24068000000.0,-3748000000.0,57211000000.0,770962000000.0,168090000000.0,293431000000.0,19864000000.0,323116000000.0,159007000000.0,204172000000.0
2017-03-31,240841000000.0,52874000000.0,671075000000.0,772829000000.0,5710000000.0,142505000000.0,1449614000000.0,10000000000.0,67409000000.0,653490000000.0,124305000000.0,282555000000.0,56465000000.0,11767000000.0,261342000000.0,359404000000.0,11766000000.0,24957000000.0,88105000000.0,42213000000.0,714431000000.0,157807000000.0,249433000000.0,85000000000.0,300680000000.0,187366000000.0,68029000000.0
