,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Good Will
2021-03-31,111431000000.0,115405000000.0,480131000000.0,489671000000.0,2447000000.0,24830000000.0,972249000000.0,26284000000.0,25572000000.0,326888000000.0,68676000000.0,21094000000.0,42181000000.0,99339000000.0,317780000000.0,23835000000.0,29132000000.0,22264000000.0,333448000000.0,462558000000.0,22631000000.0,378240000000.0,167553000000.0,93675000000.0,170094000000.0,150639000000.0,
2020-03-31,27640000000.0,115405000000.0,454913000000.0,520313000000.0,2540000000.0,31216000000.0,977766000000.0,26284000000.0,26109000000.0,374820000000.0,74429000000.0,3804000000.0,17816000000.0,42353000000.0,297199000000.0,17816000000.0,47527000000.0,4969000000.0,381095000000.0,406119000000.0,54562000000.0,402139000000.0,157732000000.0,70238000000.0,179925000000.0,126640000000.0,90534000000.0
2019-03-31,31409000000.0,115045000000.0,504041000000.0,587979000000.0,7232000000.0,41003000000.0,1099252000000.0,26284000000.0,29122000000.0,425886000000.0,67671000000.0,20764000000.0,9652000000.0,41098000000.0,317384000000.0,9652000000.0,33844000000.0,21925000000.0,402160000000.0,480331000000.0,63551000000.0,444421000000.0,195306000000.0,117592000000.0,214805000000.0,155251000000.0,112149000000.0
2018-03-31,33256000000.0,113518000000.0,488640000000.0,562720000000.0,7472000000.0,49082000000.0,1058832000000.0,26284000000.0,31290000000.0,407180000000.0,65407000000.0,15738000000.0,13280000000.0,54912000000.0,316960000000.0,13280000000.0,27250000000.0,16896000000.0,355318000000.0,484032000000.0,64306000000.0,420824000000.0,207628000000.0,106193000000.0,190202000000.0,172994000000.0,108640000000.0
