,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt
2021-03-31,120459000000.0,241254000000.0,1643301000000.0,1450139000000.0,96766000000.0,647090000000.0,3190206000000.0,324625000000.0,245548000000.0,909139000000.0,211747000000.0,41239000000.0,-24879000000.0,254536000000.0,481832000000.0,1289497000000.0,76661000000.0,54616000000.0,569593000000.0,1873092000000.0,331287000000.0,1288441000000.0,908699000000.0,142057000000.0,237013000000.0,468139000000.0,
2020-03-31,107213000000.0,237654000000.0,1839010000000.0,1240956000000.0,107479000000.0,397666000000.0,3187445000000.0,324625000000.0,228312000000.0,735920000000.0,268366000000.0,36709000000.0,-57243000000.0,106636000000.0,451857000000.0,1364525000000.0,106636000000.0,2371000000.0,570170000000.0,1891121000000.0,475596000000.0,1097034000000.0,972882000000.0,87643000000.0,238070000000.0,478970000000.0,80172000000.0
2019-03-31,116905000000.0,235455000000.0,1851212000000.0,1132055000000.0,121575000000.0,410737000000.0,3104842000000.0,324625000000.0,291054000000.0,576857000000.0,308574000000.0,38348000000.0,-4882000000.0,105663000000.0,416684000000.0,1357302000000.0,105663000000.0,24674000000.0,439078000000.0,1959349000000.0,445499000000.0,976802000000.0,1025566000000.0,167896000000.0,226045000000.0,528744000000.0,80127000000.0
2018-03-31,130680000000.0,233941000000.0,1916620000000.0,1087797000000.0,117105000000.0,338719000000.0,3121522000000.0,324625000000.0,121800000000.0,479776000000.0,341627000000.0,42495000000.0,49455000000.0,129236000000.0,452557000000.0,1308491000000.0,129236000000.0,56692000000.0,525581000000.0,1867299000000.0,426231000000.0,914622000000.0,1051339000000.0,250026000000.0,241603000000.0,540935000000.0,88564000000.0
