,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Good Will,Short Long Term Debt
2020-03-31,1619000000.0,8109000000.0,132090000000.0,161005000000.0,3332000000.0,22490000000.0,296427000000.0,18168000000.0,5442000000.0,132418000000.0,16808000000.0,2310000000.0,4416000000.0,26256000000.0,68572000000.0,4306000000.0,8708000000.0,116818000000.0,134646000000.0,38928000000.0,159386000000.0,50216000000.0,46710000000.0,52732000000.0,20779000000.0,,
2019-03-31,1691000000.0,8109000000.0,138172000000.0,165272000000.0,3659000000.0,14801000000.0,307103000000.0,18168000000.0,10912000000.0,129535000000.0,16826000000.0,9460000000.0,2435000000.0,21732000000.0,67634000000.0,2319000000.0,15855000000.0,119101000000.0,135937000000.0,47884000000.0,163526000000.0,52571000000.0,53712000000.0,50722000000.0,22251000000.0,55000000.0,
2018-03-31,1519000000.0,8109000000.0,142250000000.0,172213000000.0,3414000000.0,14697000000.0,317877000000.0,18168000000.0,7712000000.0,124255000000.0,23404000000.0,21681000000.0,1018000000.0,22673000000.0,71610000000.0,895000000.0,28073000000.0,122150000000.0,127131000000.0,66059000000.0,170694000000.0,50486000000.0,47236000000.0,46260000000.0,22333000000.0,,
2017-03-31,1372000000.0,8117000000.0,142025000000.0,170020000000.0,2929000000.0,15370000000.0,314974000000.0,18168000000.0,6835000000.0,123309000000.0,22283000000.0,20426000000.0,1236000000.0,31342000000.0,77429000000.0,1102000000.0,25809000000.0,116703000000.0,132109000000.0,63513000000.0,168607000000.0,49309000000.0,42313000000.0,44623000000.0,19122000000.0,41000000.0,10000000000.0
