,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Inventory,Accounts Payable,Minority Interest,Long Term Debt
2020-12-31,23880000000.0,67586000000.0,255495000000.0,980003000000.0,97450000000.0,1235498000000.0,73202000000.0,4042000000.0,849093000000.0,14790000000.0,-9878000000.0,47935000000.0,212333000000.0,236070000000.0,47934000000.0,-9878000000.0,297490000000.0,834906000000.0,31287000000.0,956123000000.0,166287000000.0,253354000000.0,183893000000.0,100396000000.0,,
2019-12-31,23540000000.0,67037000000.0,204930000000.0,853985000000.0,65680000000.0,1058915000000.0,73016000000.0,5052000000.0,722076000000.0,20173000000.0,-8144000000.0,42679000000.0,203941000000.0,179268000000.0,42680000000.0,-8144000000.0,265308000000.0,699680000000.0,27708000000.0,830445000000.0,129117000000.0,181641000000.0,168122000000.0,77635000000.0,,
2018-12-31,22699000000.0,66043000000.0,163020000000.0,755864000000.0,35928000000.0,919548000000.0,73000000000.0,2204000000.0,618091000000.0,27720000000.0,-1270000000.0,35569000000.0,146860000000.0,135218000000.0,35568000000.0,-1270000000.0,222388000000.0,600093000000.0,38799000000.0,733165000000.0,102533000000.0,179559000000.0,159360000000.0,71706000000.0,664000000.0,
2017-12-31,21078000000.0,64815000000.0,159576000000.0,691924000000.0,34350000000.0,852473000000.0,72970000000.0,2109000000.0,550974000000.0,36467000000.0,3165000000.0,34499000000.0,139074000000.0,122902000000.0,34501000000.0,3165000000.0,171569000000.0,599141000000.0,26186000000.0,670846000000.0,104018000000.0,175001000000.0,169056000000.0,63518000000.0,973000000.0,207000000.0
