,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Inventory,Accounts Payable,Long Term Debt
2020-03-31,10660000000.0,39131000000.0,699800000000.0,411838000000.0,869000000.0,22207000000.0,1112507000000.0,13546000000.0,2661000000.0,386233000000.0,25676000000.0,421000000.0,-27072000000.0,2977000000.0,167521000000.0,674124000000.0,2478000000.0,30243000000.0,116940000000.0,862208000000.0,119301000000.0,400757000000.0,44108000000.0,508192000000.0,139726000000.0,644161000000.0,
2019-03-31,12779000000.0,39083000000.0,787615000000.0,400773000000.0,850000000.0,23472000000.0,1189238000000.0,13546000000.0,3538000000.0,364783000000.0,25809000000.0,850000000.0,-16639000000.0,2840000000.0,212579000000.0,761806000000.0,2323000000.0,30926000000.0,116776000000.0,937208000000.0,118785000000.0,387144000000.0,52304000000.0,522632000000.0,146155000000.0,730656000000.0,
2018-03-31,13837000000.0,39073000000.0,771264000000.0,405751000000.0,673000000.0,24187000000.0,1177688000000.0,13546000000.0,10113000000.0,340639000000.0,33081000000.0,1396000000.0,12493000000.0,1075000000.0,194969000000.0,738177000000.0,543000000.0,39533000000.0,118581000000.0,903019000000.0,139780000000.0,390518000000.0,41705000000.0,515322000000.0,140910000000.0,706294000000.0,6000000.0
2017-03-31,15573000000.0,39069000000.0,712517000000.0,395943000000.0,552000000.0,19009000000.0,1109012000000.0,13546000000.0,10665000000.0,326935000000.0,32677000000.0,1898000000.0,16393000000.0,1029000000.0,108276000000.0,679825000000.0,494000000.0,36551000000.0,121809000000.0,821753000000.0,146950000000.0,378472000000.0,32162000000.0,521609000000.0,149041000000.0,652655000000.0,15000000.0
