,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Long Term Debt,Accounts Payable,Short Long Term Debt,Short Term Investments
2020-03-31,19316000000.0,148549000000.0,16922574000000.0,882234000000.0,24799000000.0,17804808000000.0,117495000000.0,39180000000.0,547270000000.0,142887000000.0,68920000000.0,11597960000000.0,1935324000000.0,15304765000000.0,1920000000.0,74890000000.0,109693000000.0,1990136000000.0,4087703000000.0,862918000000.0,1474922000000.0,15039789000000.0,,
2019-03-31,18388000000.0,148545000000.0,16453028000000.0,919547000000.0,21848000000.0,17372575000000.0,117495000000.0,150940000000.0,523792000000.0,164943000000.0,129715000000.0,11246282000000.0,1434628000000.0,16031873000000.0,1583000000.0,131741000000.0,112518000000.0,1633616000000.0,4361771000000.0,901159000000.0,256212000000.0,14656046000000.0,835162000000.0,34249000000.0
2018-03-31,14801000000.0,148541000000.0,15881744000000.0,888139000000.0,25196000000.0,16769883000000.0,117495000000.0,127962000000.0,489697000000.0,159184000000.0,132406000000.0,10598554000000.0,1693568000000.0,14807823000000.0,2119000000.0,132414000000.0,115146000000.0,1849235000000.0,4192147000000.0,873338000000.0,914737000000.0,14250552000000.0,,15166000000.0
2017-03-31,12414000000.0,148490000000.0,15261367000000.0,863085000000.0,26427000000.0,16124452000000.0,117495000000.0,33138000000.0,461631000000.0,197862000000.0,135469000000.0,10353556000000.0,1393762000000.0,14121602000000.0,1609000000.0,135475000000.0,117732000000.0,1434126000000.0,4206624000000.0,850671000000.0,941903000000.0,13791752000000.0,,
