,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-12-31,9631000000.0,216378000000.0,35546000000.0,1522000000.0,2490000000.0,34088000000.0,253452000000.0,702000000.0,4122000000.0,92247000000.0,45523000000.0,25524000000.0,-57403000000.0,29980000000.0,20609000000.0,56069000000.0,9350000000.0,24558000000.0,44662000000.0,88412000000.0,36000000.0,248000000.0,7319000000.0,22455000000.0,70288000000.0,15890000000.0,16476000000.0
2019-12-31,10461000000.0,235316000000.0,28310000000.0,1545000000.0,2391000000.0,37867000000.0,265177000000.0,702000000.0,12512000000.0,87732000000.0,46125000000.0,25895000000.0,-60124000000.0,28010000000.0,17613000000.0,78865000000.0,8189000000.0,22673000000.0,45879000000.0,103096000000.0,120000000.0,-9077000000.0,9888000000.0,23958000000.0,67241000000.0,17215000000.0,17357000000.0
2018-12-31,11942000000.0,259591000000.0,30975000000.0,20500000000.0,5404000000.0,33642000000.0,311072000000.0,702000000.0,66802000000.0,93109000000.0,71161000000.0,33070000000.0,-62836000000.0,46043000000.0,16632000000.0,62615000000.0,12117000000.0,21089000000.0,43611000000.0,141216000000.0,34050000000.0,-15177000000.0,,14645000000.0,88949000000.0,13803000000.0,13826000000.0
2017-12-31,20014000000.0,292356000000.0,56024000000.0,20859000000.0,5484000000.0,19531000000.0,369245000000.0,702000000.0,6720000000.0,117245000000.0,84243000000.0,82984000000.0,-61923000000.0,56181000000.0,18211000000.0,60043000000.0,8819000000.0,22979000000.0,53874000000.0,116253000000.0,38696000000.0,-48217000000.0,,24209000000.0,108575000000.0,19344000000.0,15172000000.0
