,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable
2020-12-31,7568000000.0,6456000000.0,6321000000.0,113000000.0,12890000000.0,7000000.0,2000000.0,-1180000000.0,234000000.0,-74000000.0,440000000.0,2335000000.0,71000000.0,-74000000.0,10013000000.0,2416000000.0,21000000.0,6321000000.0,79000000.0,5541000000.0,71000000.0
2019-12-31,7675000000.0,4838000000.0,7319000000.0,148000000.0,12305000000.0,7000000.0,1000000.0,-307000000.0,175000000.0,-56000000.0,346000000.0,1573000000.0,263000000.0,-56000000.0,10266000000.0,1637000000.0,56000000.0,7319000000.0,63000000.0,3794000000.0,263000000.0
2018-12-31,8156000000.0,4396000000.0,7494000000.0,200000000.0,12090000000.0,7000000.0,282000000.0,-610000000.0,266000000.0,-59000000.0,387000000.0,1542000000.0,293000000.0,-59000000.0,9760000000.0,1895000000.0,48000000.0,7494000000.0,71000000.0,3837000000.0,293000000.0
2017-12-31,8097000000.0,4524000000.0,6973000000.0,196000000.0,11693000000.0,7000000.0,251000000.0,-1071000000.0,287000000.0,-60000000.0,431000000.0,913000000.0,284000000.0,-60000000.0,9692000000.0,1243000000.0,327000000.0,6973000000.0,79000000.0,3953000000.0,283000000.0
