,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt
2021-03-31,33992000000.0,1239887000000.0,338624000000.0,17115000000.0,171924000000.0,1595626000000.0,117641000000.0,15141000000.0,181208000000.0,146743000000.0,5783000000.0,40305000000.0,132310000000.0,212589000000.0,40302000000.0,9139000000.0,1166737000000.0,245342000000.0,143242000000.0,338624000000.0,70688000000.0,880555000000.0,27203000000.0,33585000000.0,
2020-03-31,33992000000.0,1256477000000.0,321975000000.0,14481000000.0,103510000000.0,1592933000000.0,117641000000.0,14797000000.0,175226000000.0,143534000000.0,-4884000000.0,44785000000.0,163419000000.0,253569000000.0,44781000000.0,-1533000000.0,1147698000000.0,275404000000.0,125046000000.0,321975000000.0,65429000000.0,859374000000.0,31759000000.0,36214000000.0,102001000000.0
2019-03-31,33992000000.0,1246177000000.0,313464000000.0,13486000000.0,91763000000.0,1573127000000.0,117641000000.0,16673000000.0,161786000000.0,142389000000.0,45000000.0,44570000000.0,142934000000.0,252414000000.0,44567000000.0,3392000000.0,1149221000000.0,260624000000.0,118712000000.0,313464000000.0,64891000000.0,851374000000.0,36126000000.0,32918000000.0,116083000000.0
2018-03-31,33994000000.0,1261114000000.0,315119000000.0,12524000000.0,108007000000.0,1588757000000.0,117641000000.0,23684000000.0,159266000000.0,126233000000.0,4218000000.0,37322000000.0,200166000000.0,262426000000.0,37319000000.0,7560000000.0,1121859000000.0,314181000000.0,115395000000.0,315119000000.0,61868000000.0,872455000000.0,28463000000.0,37479000000.0,101215000000.0
