,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Good Will
2021-03-31,28183000000.0,124592000000.0,315908000000.0,345133000000.0,33244000000.0,59618000000.0,694285000000.0,38730000000.0,28492000000.0,198501000000.0,24402000000.0,-16690000000.0,6940000000.0,153067000000.0,224438000000.0,6938000000.0,9706000000.0,181270000000.0,425299000000.0,52593000000.0,316950000000.0,147963000000.0,67068000000.0,95777000000.0,79932000000.0,
2020-03-31,27265000000.0,126544000000.0,269927000000.0,324743000000.0,30872000000.0,53670000000.0,625542000000.0,38730000000.0,19765000000.0,206491000000.0,28217000000.0,-47022000000.0,6961000000.0,129598000000.0,198038000000.0,6960000000.0,-14789000000.0,177865000000.0,369187000000.0,43270000000.0,296484000000.0,119352000000.0,43672000000.0,100472000000.0,61781000000.0,994000000.0
2019-03-31,23208000000.0,126561000000.0,280358000000.0,365707000000.0,29652000000.0,51626000000.0,675717000000.0,38730000000.0,28437000000.0,227078000000.0,21759000000.0,-26662000000.0,16601000000.0,122079000000.0,188029000000.0,16600000000.0,-8379000000.0,187646000000.0,402905000000.0,45317000000.0,342459000000.0,156555000000.0,70570000000.0,95834000000.0,69596000000.0,40000000.0
2018-03-31,18536000000.0,56065000000.0,255928000000.0,301509000000.0,114362000000.0,56767000000.0,671799000000.0,38730000000.0,32598000000.0,213790000000.0,24576000000.0,-7076000000.0,9754000000.0,121554000000.0,197742000000.0,9752000000.0,-3579000000.0,185891000000.0,409948000000.0,47634000000.0,282937000000.0,159671000000.0,33610000000.0,96125000000.0,73764000000.0,36000000.0
