,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable
2020-12-31,6356791000.0,14518578000.0,5796083000.0,2343529000.0,640085000.0,171082000.0,22858190000.0,1557000.0,84427000.0,418981000.0,-562265000.0,1091039000.0,1668742000.0,644622000.0,-559543000.0,17367853000.0,3049363000.0,1349935000.0,5796083000.0,1296194000.0,13047758000.0,336264000.0
2019-12-31,6294719000.0,13270669000.0,5484687000.0,2329549000.0,689213000.0,170713000.0,21284905000.0,1548000.0,88621000.0,396359000.0,-811580000.0,944041000.0,644950000.0,638282000.0,-808858000.0,17367384000.0,1981086000.0,992394000.0,5484687000.0,1247515000.0,11811806000.0,377553000.0
2018-12-31,6407623000.0,12042509000.0,5683171000.0,2330797000.0,678724000.0,165114000.0,20256477000.0,1545000.0,176775000.0,503726000.0,-725997000.0,879222000.0,543359000.0,531026000.0,-723275000.0,16551621000.0,1841127000.0,984507000.0,5683171000.0,1120993000.0,11007757000.0,276645000.0
2017-12-31,6377908000.0,11269777000.0,5613957000.0,2288499000.0,679038000.0,139040000.0,19372233000.0,1543000.0,148573000.0,443980000.0,-765494000.0,883963000.0,434767000.0,554186000.0,-762772000.0,16302083000.0,1537101000.0,649086000.0,5613957000.0,953761000.0,10271611000.0,331500000.0
