,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt,Deferred Long Term Liab,Good Will
2021-03-31,4571000000.0,25626000000.0,354700000000.0,391083000000.0,29372000000.0,15916000000.0,775155000000.0,28046000000.0,14821000000.0,320883000000.0,59786000000.0,16528000000.0,21353000000.0,134003000000.0,185535000000.0,21349000000.0,17760000000.0,290246000000.0,380578000000.0,78407000000.0,386512000000.0,9617000000.0,149249000000.0,109379000000.0,72888000000.0,126784000000.0,,,
2020-03-31,3741000000.0,26968000000.0,338911000000.0,345070000000.0,25204000000.0,16913000000.0,709185000000.0,28027000000.0,17284000000.0,289061000000.0,54859000000.0,1014000000.0,14477000000.0,127930000000.0,180653000000.0,14473000000.0,2234000000.0,273479000000.0,359565000000.0,57923000000.0,341329000000.0,8364000000.0,142062000000.0,103399000000.0,63925000000.0,119083000000.0,11353000000.0,,
2019-03-31,2327000000.0,26968000000.0,327985000000.0,354120000000.0,26024000000.0,20154000000.0,708129000000.0,28027000000.0,20533000000.0,285669000000.0,40240000000.0,13456000000.0,5437000000.0,107311000000.0,194309000000.0,5434000000.0,14675000000.0,257728000000.0,382106000000.0,60531000000.0,351793000000.0,10824000000.0,179791000000.0,93089000000.0,63647000000.0,140660000000.0,4024000000.0,,
2018-03-31,2518000000.0,29150000000.0,308480000000.0,328637000000.0,25271000000.0,30892000000.0,662388000000.0,28027000000.0,32038000000.0,268930000000.0,54947000000.0,2530000000.0,4481000000.0,104309000000.0,189075000000.0,4435000000.0,3748000000.0,259537000000.0,328524000000.0,67291000000.0,326082000000.0,,141270000000.0,64458000000.0,50907000000.0,80989000000.0,25126000000.0,45000000.0,37000000.0
