,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Other Current Assets
2020-03-31,3208000000.0,102404000000.0,133394000000.0,714991000000.0,488000000.0,31568000000.0,848873000000.0,86969000000.0,644563000000.0,28673000000.0,1392000000.0,-118945000000.0,16363000000.0,275540000000.0,62368000000.0,4863000000.0,-30219000000.0,243784000000.0,517888000000.0,66238000000.0,710391000000.0,40184000000.0,83394000000.0,40935000000.0,111723000000.0,14863000000.0,
2019-03-31,4098000000.0,102404000000.0,107674000000.0,766267000000.0,487000000.0,42340000000.0,874428000000.0,86969000000.0,634607000000.0,31468000000.0,,-57713000000.0,20000000000.0,228065000000.0,76174000000.0,6718000000.0,-10282000000.0,251645000000.0,511002000000.0,87683000000.0,762169000000.0,61680000000.0,93334000000.0,,120968000000.0,16126000000.0,
2018-03-31,5410000000.0,102403000000.0,118157000000.0,751425000000.0,452000000.0,64297000000.0,870034000000.0,86969000000.0,620151000000.0,40072000000.0,,-58098000000.0,16244000000.0,243973000000.0,78085000000.0,2580000000.0,-10310000000.0,240226000000.0,513539000000.0,94615000000.0,746015000000.0,61848000000.0,90449000000.0,,98288000000.0,13788000000.0,18981000000.0
2017-03-31,5158000000.0,102403000000.0,109051000000.0,724986000000.0,466000000.0,48200000000.0,834503000000.0,86969000000.0,604057000000.0,40001000000.0,5355000000.0,-68443000000.0,2687000000.0,264916000000.0,69050000000.0,2685000000.0,-20666000000.0,231270000000.0,495958000000.0,94075000000.0,714473000000.0,42582000000.0,82428000000.0,,86696000000.0,20850000000.0,19336000000.0
