,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt
2021-03-31,1108634000000.0,497275000000.0,37978811000000.0,23404547000000.0,883782000000.0,3717174000000.0,62267140000000.0,397050000000.0,745070000000.0,24104176000000.0,3050830000000.0,-1593954000000.0,886166000000.0,3274150000000.0,21460466000000.0,336224000000.0,1307726000000.0,7195309000000.0,22776801000000.0,13244717000000.0,22295913000000.0,4215457000000.0,3071200000000.0,1402581000000.0,2888028000000.0,4045939000000.0,
2020-03-31,,489334000000.0,31942754000000.0,20060618000000.0,677064000000.0,4102642000000.0,52680436000000.0,397050000000.0,246988000000.0,23427613000000.0,2746823000000.0,-4253379000000.0,890514000000.0,2774498000000.0,17902377000000.0,354785000000.0,-1166273000000.0,6571110000000.0,18642531000000.0,11844890000000.0,20060618000000.0,1477202000000.0,2659748000000.0,1029678000000.0,2434918000000.0,2434180000000.0,141871000000.0
2019-03-31,,487162000000.0,31869812000000.0,19348152000000.0,718985000000.0,4479344000000.0,51936949000000.0,397050000000.0,142531000000.0,21987515000000.0,2887743000000.0,-3523575000000.0,1182809000000.0,2790212000000.0,18226938000000.0,501872000000.0,-916650000000.0,6178503000000.0,18879237000000.0,10908291000000.0,19348152000000.0,2234892000000.0,2940890000000.0,765586000000.0,2656396000000.0,2645984000000.0,156038000000.0
2018-03-31,,487502000000.0,30878147000000.0,18735982000000.0,694120000000.0,4399669000000.0,50308249000000.0,397050000000.0,202292000000.0,19473464000000.0,2902003000000.0,-1622034000000.0,1067759000000.0,2390524000000.0,17796891000000.0,494120000000.0,435699000000.0,5901958000000.0,18152656000000.0,11338543000000.0,18735982000000.0,2447703000000.0,2708900000000.0,591086000000.0,2539789000000.0,2586657000000.0,167455000000.0
