,Intangible Assets,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-07-25,1576000000.0,56933000000.0,37920000000.0,16504000000.0,94853000000.0,41202000000.0,2343000000.0,-2763000000.0,19363000000.0,33806000000.0,-519000000.0,11077000000.0,11809000000.0,25331000000.0,3990000000.0,3005000000.0,-519000000.0,3374000000.0,43573000000.0,1447000000.0,2538000000.0,17610000000.0,10523000000.0,11578000000.0,1282000000.0,2359000000.0
2019-07-27,2201000000.0,64222000000.0,33571000000.0,16111000000.0,97793000000.0,40266000000.0,2373000000.0,-5903000000.0,18035000000.0,33529000000.0,-792000000.0,10244000000.0,11750000000.0,31712000000.0,4065000000.0,5999000000.0,-792000000.0,2789000000.0,47755000000.0,1275000000.0,-2159000000.0,21663000000.0,10586000000.0,14475000000.0,1383000000.0,2188000000.0
2018-07-28,2552000000.0,65580000000.0,43204000000.0,16738000000.0,108784000000.0,42820000000.0,1440000000.0,1233000000.0,18152000000.0,31706000000.0,-849000000.0,8587000000.0,8934000000.0,27035000000.0,3219000000.0,5248000000.0,-849000000.0,3006000000.0,61837000000.0,1096000000.0,8946000000.0,37614000000.0,12003000000.0,20393000000.0,1846000000.0,2063000000.0
2017-07-29,2539000000.0,63681000000.0,66137000000.0,15149000000.0,129818000000.0,45253000000.0,1593000000.0,20838000000.0,10373000000.0,29766000000.0,46000000.0,9403000000.0,11708000000.0,27583000000.0,4239000000.0,4747000000.0,46000000.0,3322000000.0,83703000000.0,1085000000.0,33832000000.0,58784000000.0,10002000000.0,25725000000.0,1616000000.0,1547000000.0
