,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt
2021-01-02,681127000.0,783709000.0,8280124000.0,3559512000.0,153454000.0,11839636000.0,8000.0,146811000.0,4196634000.0,488726000.0,993590000.0,-1420839000.0,52329000.0,834992000.0,4743915000.0,-26759000.0,3842589000.0,6270001000.0,1884795000.0,749999000.0,1032984000.0,4538199000.0,3640639000.0,
2019-12-28,709756000.0,735183000.0,7699444000.0,3549081000.0,201725000.0,11248525000.0,8000.0,155241000.0,3772848000.0,457263000.0,992240000.0,-958958000.0,52448000.0,418665000.0,4477702000.0,-34569000.0,3798538000.0,5695543000.0,1847085000.0,689469000.0,747320000.0,4432168000.0,3421987000.0,
2018-12-29,550593000.0,694797000.0,5489835000.0,3550813000.0,269657000.0,9040648000.0,8000.0,198408000.0,3326155000.0,558165000.0,990237000.0,-470147000.0,48379000.0,896527000.0,3885950000.0,-44193000.0,1368985000.0,6082454000.0,2009983000.0,624972000.0,1045720000.0,4362547000.0,3172790000.0,210000.0
2017-12-30,597674000.0,664646000.0,5067105000.0,3415196000.0,227906000.0,8482301000.0,8000.0,105106000.0,2920096000.0,542681000.0,994293000.0,-169554000.0,69304000.0,546937000.0,3480097000.0,-24954000.0,1394138000.0,5426892000.0,1823229000.0,606357000.0,1044327000.0,4168492000.0,2894582000.0,350000.0
