,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-03-31,32020000000.0,20396000000.0,207087000000.0,147850000000.0,16056000000.0,111227000000.0,370993000000.0,17479000000.0,9820000000.0,126285000000.0,8851000000.0,72562000000.0,-16310000000.0,9065000000.0,78247000000.0,140052000000.0,9063000000.0,10000000000.0,-6941000000.0,12603000000.0,223549000000.0,21194000000.0,43268000000.0,127864000000.0,55728000000.0,7618000000.0,782000000.0
2019-03-31,30609000000.0,20396000000.0,199915000000.0,155593000000.0,15331000000.0,117389000000.0,370839000000.0,17479000000.0,11252000000.0,125677000000.0,9248000000.0,91763000000.0,-7959000000.0,5771000000.0,69029000000.0,144919000000.0,5770000000.0,10001000000.0,-3572000000.0,7657000000.0,209845000000.0,25194000000.0,33221000000.0,122222000000.0,45748000000.0,7342000000.0,741000000.0
2018-03-31,31781000000.0,20182000000.0,243474000000.0,145536000000.0,14455000000.0,115644000000.0,403465000000.0,17467000000.0,18192000000.0,105993000000.0,10655000000.0,102113000000.0,1894000000.0,827000000.0,89624000000.0,217106000000.0,825000000.0,4640000000.0,6470000000.0,7993000000.0,235492000000.0,25259000000.0,11642000000.0,119627000000.0,15713000000.0,8049000000.0,1597000000.0
2017-03-31,14306000000.0,20156000000.0,114549000000.0,139119000000.0,14696000000.0,72134000000.0,268364000000.0,17465000000.0,13160000000.0,102432000000.0,6179000000.0,68561000000.0,-934000000.0,1373000000.0,69439000000.0,87913000000.0,1371000000.0,4640000000.0,2394000000.0,4840000000.0,165240000000.0,14044000000.0,56252000000.0,82641000000.0,20457000000.0,,1490000000.0
