,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Long Term Investments
2020-12-31,258645000.0,2029465000.0,2607776000.0,232144000.0,482841000.0,2839920000.0,1617000.0,80290000.0,7107989000.0,483085000.0,444362000.0,-8906927000.0,148625000.0,436695000.0,804983000.0,150000000.0,-117943000.0,587255000.0,1401033000.0,-470863000.0,6451000.0,573316000.0,1251511000.0,304281000.0,72212000.0,
2019-12-31,240203000.0,1926753000.0,2773336000.0,-216281000.0,371375000.0,2557055000.0,1610000.0,67062000.0,6587403000.0,534324000.0,356128000.0,-8732047000.0,133048000.0,335715000.0,591334000.0,100000000.0,-119471000.0,510700000.0,1312491000.0,-812612000.0,1429000.0,587734000.0,1580797000.0,320551000.0,49001000.0,4485000.0
2018-12-31,246902000.0,1834741000.0,2160168000.0,1567258000.0,316040000.0,3727426000.0,1605000.0,68054000.0,5995205000.0,563065000.0,355614000.0,-6264293000.0,117571000.0,796280000.0,448931000.0,,-117971000.0,343083000.0,2663163000.0,964742000.0,938944000.0,568316000.0,1148172000.0,291569000.0,68168000.0,1093000.0
2017-12-31,228395000.0,1745088000.0,3090566000.0,2233788000.0,372323000.0,5324354000.0,1598000.0,72314000.0,5405380000.0,586908000.0,359819000.0,-4918278000.0,116728000.0,642319000.0,606157000.0,100000000.0,-110067000.0,349278000.0,4270134000.0,1645574000.0,2751382000.0,533825000.0,1897501000.0,270294000.0,64537000.0,
