,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Capital Surplus,Other Current Assets
2020-12-26,527079000.0,3460448000.0,3348172000.0,963912000.0,210171000.0,7772532000.0,1425000.0,3454831000.0,422846000.0,2504392000.0,-108084000.0,149413000.0,421185000.0,2283102000.0,42594000.0,107416000.0,-108084000.0,630851000.0,3791415000.0,169382000.0,316701000.0,1424787000.0,512232000.0,1512499000.0,1005655000.0,,
2019-12-28,615323000.0,3233706000.0,2998044000.0,919351000.0,235971000.0,7151101000.0,1434000.0,3116215000.0,396162000.0,2462495000.0,-167373000.0,120815000.0,106097000.0,2038369000.0,23625000.0,108113000.0,-167373000.0,561307000.0,3226502000.0,164659000.0,-79774000.0,1246246000.0,619250000.0,1428799000.0,880266000.0,47768000.0,
2018-12-29,414272000.0,4646583000.0,2961332000.0,892612000.0,797520000.0,8500527000.0,1514000.0,3208589000.0,447412000.0,2081029000.0,-248771000.0,1254831000.0,56885000.0,3218827000.0,12196000.0,7304000.0,-248771000.0,314221000.0,4175220000.0,260954000.0,466031000.0,1168776000.0,977376000.0,1415512000.0,785756000.0,,1083014000.0
2017-12-30,706378000.0,4207447000.0,2811499000.0,845049000.0,274573000.0,7863995000.0,1537000.0,2940029000.0,470716000.0,2301331000.0,-130067000.0,126901000.0,174658000.0,2828975000.0,10962000.0,16659000.0,-130067000.0,375001000.0,4086020000.0,268364000.0,-196210000.0,1522807000.0,902663000.0,1933803000.0,1153012000.0,,
