,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable
2020-03-31,1239526000000.0,5533520000000.0,316008767000000.0,15016487000000.0,728029000000.0,6658115000000.0,331753283000000.0,2090270000000.0,13527279000000.0,8319101000000.0,730189000000.0,517626000000.0,-926404000000.0,122392148000000.0,75943248000000.0,286984107000000.0,113031000000.0,-420417000000.0,1322964000000.0,160109239000000.0,46171780000000.0,13288976000000.0,27439920000000.0,2404201000000.0,27901577000000.0,205205788000000.0
2019-03-31,927196000000.0,5577186000000.0,289244151000000.0,15199548000000.0,785200000000.0,4342166000000.0,305228899000000.0,2090270000000.0,14007985000000.0,8333597000000.0,854405000000.0,433891000000.0,-801505000000.0,120125503000000.0,72002920000000.0,260399203000000.0,89719000000.0,-284269000000.0,973600000000.0,135344680000000.0,47424029000000.0,13855892000000.0,13733313000000.0,2535869000000.0,27927275000000.0,200589522000000.0
2018-03-31,1011119000000.0,5740165000000.0,284924497000000.0,14970182000000.0,675633000000.0,4733513000000.0,300570312000000.0,2090270000000.0,13181854000000.0,5185304000000.0,841876000000.0,441334000000.0,1954443000000.0,120041197000000.0,73178567000000.0,257013065000000.0,68704000000.0,2477315000000.0,1013588000000.0,132191279000000.0,45871795000000.0,13524997000000.0,14994677000000.0,2208079000000.0,27008950000000.0,197031980000000.0
2017-03-31,1020359000000.0,5956644000000.0,282420311000000.0,13985532000000.0,779176000000.0,4883053000000.0,297185019000000.0,2090270000000.0,12049174000000.0,4171183000000.0,696780000000.0,450143000000.0,1767435000000.0,120067791000000.0,61243804000000.0,255592004000000.0,76452000000.0,2281423000000.0,994271000000.0,129219168000000.0,45433287000000.0,12515030000000.0,19190870000000.0,1590513000000.0,26071822000000.0,191724121000000.0
