,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt
2020-09-30,4377149000.0,8567829000.0,6791203000.0,371707000.0,370525000.0,15359032000.0,629000.0,60736000.0,2471014000.0,3052578000.0,731257000.0,-57589000.0,470072000.0,20808000.0,782401000.0,-57589000.0,13582493000.0,471258000.0,103952000.0,6059946000.0,230595000.0,4523313000.0,118779000.0,183129000.0,
2019-09-30,3712194000.0,7617396000.0,5750223000.0,260220000.0,346707000.0,13367619000.0,597000.0,27961000.0,2152015000.0,2878504000.0,730706000.0,-114583000.0,289330000.0,24550000.0,1209440000.0,-114583000.0,11787669000.0,458031000.0,101883000.0,5019517000.0,230571000.0,3529452000.0,136054000.0,213398000.0,
2018-09-30,2974926000.0,7104486000.0,4769951000.0,141778000.0,388507000.0,11874437000.0,556000.0,4716000.0,1878116000.0,2695690000.0,730419000.0,-83647000.0,194633000.0,13771000.0,1915131000.0,-83647000.0,10371147000.0,478853000.0,99385000.0,4039532000.0,253295000.0,2493665000.0,173838000.0,183880000.0,631499000.0
2017-09-30,2536365000.0,6850930000.0,3898666000.0,110977000.0,227960000.0,10749596000.0,531000.0,69686000.0,1467024000.0,2658366000.0,730132000.0,-105254000.0,132227000.0,26409000.0,1013443000.0,-105254000.0,9259182000.0,539646000.0,88409000.0,3168534000.0,222263000.0,3179121000.0,189125000.0,193675000.0,
