,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Inventory,Accounts Payable
2020-03-31,18715000000.0,35408000000.0,180339000000.0,745645000000.0,6105000000.0,31813000000.0,932089000000.0,18600000000.0,18778000000.0,624388000000.0,71038000000.0,9216000000.0,67249000000.0,6598000000.0,54919000000.0,94605000000.0,2639000000.0,76190000000.0,275783000000.0,258742000000.0,363035000000.0,717714000000.0,72000000000.0,101987000000.0,11058000000.0,7583000000.0
2019-03-31,19789000000.0,35489000000.0,194506000000.0,741157000000.0,5831000000.0,34796000000.0,941494000000.0,18600000000.0,23821000000.0,602522000000.0,76855000000.0,10168000000.0,84546000000.0,6869000000.0,47420000000.0,100747000000.0,2578000000.0,93481000000.0,274393000000.0,235747000000.0,394528000000.0,711200000000.0,52000000000.0,100734000000.0,11772000000.0,8915000000.0
2018-03-31,21197000000.0,31569000000.0,183929000000.0,690591000000.0,14326000000.0,28143000000.0,888846000000.0,18600000000.0,21638000000.0,572240000000.0,76365000000.0,10093000000.0,68182000000.0,6418000000.0,44787000000.0,94621000000.0,1090000000.0,82127000000.0,264463000000.0,262746000000.0,323929000000.0,659301000000.0,87468000000.0,98197000000.0,10656000000.0,8410000000.0
2017-03-31,23715000000.0,29621000000.0,192859000000.0,642719000000.0,13051000000.0,40398000000.0,848629000000.0,18600000000.0,23011000000.0,543310000000.0,66271000000.0,10884000000.0,51188000000.0,5355000000.0,47335000000.0,111500000000.0,986000000.0,64607000000.0,249063000000.0,305280000000.0,254332000000.0,608120000000.0,126057000000.0,98481000000.0,10396000000.0,8510000000.0
