,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Accounts Payable
2020-12-31,654600000.0,1390300000.0,7707000000.0,1561700000.0,87500000.0,10659000000.0,45600000.0,7029800000.0,57700000.0,665700000.0,-23000000.0,194200000.0,2151700000.0,1213800000.0,60600000.0,-23000000.0,813000000.0,3039800000.0,5946300000.0,7041300000.0,888100000.0,185200000.0
2019-12-31,654600000.0,1107300000.0,7102100000.0,1121000000.0,44000000.0,9330400000.0,47000000.0,6443500000.0,39200000.0,665700000.0,-43000000.0,202600000.0,1781800000.0,921800000.0,77100000.0,-43000000.0,785200000.0,2460200000.0,5216700000.0,6436400000.0,678400000.0,202300000.0
2018-12-31,654600000.0,824700000.0,6124300000.0,740300000.0,54200000.0,7689300000.0,47600000.0,5464100000.0,38700000.0,665700000.0,-42000000.0,231800000.0,1425200000.0,786000000.0,109900000.0,-42000000.0,661300000.0,1996700000.0,4133800000.0,5458600000.0,571500000.0,228500000.0
2017-12-31,846100000.0,718200000.0,5824400000.0,992800000.0,68300000.0,7535400000.0,49000000.0,4932900000.0,55900000.0,665700000.0,-3600000.0,180800000.0,1902700000.0,662300000.0,70300000.0,-3600000.0,652000000.0,2511200000.0,3525700000.0,5158700000.0,608500000.0,216200000.0
