,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Inventory,Accounts Payable
2020-03-31,66436000000.0,17229000000.0,105422000000.0,562484000000.0,5538000000.0,44277000000.0,673444000000.0,17358000000.0,6969000000.0,524605000000.0,7920000000.0,3292000000.0,34814000000.0,69005000000.0,91329000000.0,34817000000.0,48029000000.0,114628000000.0,225222000000.0,232344000000.0,496048000000.0,31414000000.0,76834000000.0,32906000000.0,34439000000.0
2019-03-31,63059000000.0,17202000000.0,92320000000.0,557350000000.0,5386000000.0,35447000000.0,655056000000.0,17358000000.0,6172000000.0,499088000000.0,7405000000.0,23702000000.0,21078000000.0,59981000000.0,83150000000.0,21079000000.0,61853000000.0,108870000000.0,194617000000.0,267432000000.0,494291000000.0,11487000000.0,76285000000.0,32821000000.0,36833000000.0
2018-03-31,55715000000.0,17175000000.0,79608000000.0,524390000000.0,5228000000.0,24917000000.0,609226000000.0,17358000000.0,9647000000.0,459985000000.0,10819000000.0,29872000000.0,10192000000.0,65273000000.0,68469000000.0,10192000000.0,68020000000.0,94321000000.0,209464000000.0,239534000000.0,468675000000.0,20503000000.0,77577000000.0,31290000000.0,34015000000.0
2017-03-31,45237000000.0,17144000000.0,93250000000.0,519110000000.0,5101000000.0,42429000000.0,617461000000.0,17358000000.0,3708000000.0,492237000000.0,9775000000.0,-7629000000.0,10738000000.0,146323000000.0,82933000000.0,10739000000.0,51753000000.0,83659000000.0,271033000000.0,206794000000.0,473873000000.0,18379000000.0,73255000000.0,25334000000.0,30905000000.0
