,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Long Term Debt,Accounts Payable
2020-12-31,10664416000.0,8444293000.0,10751583000.0,3268000.0,55427000.0,225208000.0,19199144000.0,1395000.0,330823000.0,126022000.0,55928000.0,-40250000.0,453725000.0,216976000.0,657899000.0,-40250000.0,17995008000.0,547799000.0,202612000.0,10751583000.0,7564337000.0,93609000.0
2019-12-31,10736733000.0,8127601000.0,10989549000.0,3901000.0,70486000.0,215789000.0,19121051000.0,1406000.0,275878000.0,282913000.0,61752000.0,-31503000.0,578466000.0,39687000.0,629091000.0,-31503000.0,18061214000.0,315565000.0,165806000.0,10989549000.0,7296290000.0,92135000.0
2018-12-31,10306588000.0,7744350000.0,10632606000.0,3244000.0,47443000.0,204341000.0,18380200000.0,1385000.0,279346000.0,350777000.0,58415000.0,-26144000.0,200753000.0,91659000.0,645672000.0,-26144000.0,17591010000.0,371005000.0,217432000.0,10632606000.0,7040263000.0,96983000.0
2017-12-31,10235475000.0,8020719000.0,10388046000.0,6056000.0,45819000.0,196094000.0,18414821000.0,1381000.0,375526000.0,188609000.0,58473000.0,-37419000.0,159539000.0,67088000.0,632776000.0,-37419000.0,17649193000.0,442614000.0,163475000.0,10388046000.0,7329470000.0,85377000.0
