,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt
2021-03-31,23426000000.0,46003000000.0,590699000000.0,416996000000.0,44257000000.0,92000000.0,100978000000.0,1051952000000.0,47586000000.0,53725000000.0,271772000000.0,59371000000.0,51635000000.0,15430000000.0,76546000000.0,356416000000.0,14682000000.0,58975000000.0,209758000000.0,629207000000.0,174131000000.0,393570000000.0,315747000000.0,131686000000.0,183189000000.0,167260000000.0,
2020-03-31,24606000000.0,45949000000.0,590827000000.0,365618000000.0,40382000000.0,118000000.0,99905000000.0,996827000000.0,47586000000.0,51600000000.0,241305000000.0,54866000000.0,30778000000.0,18548000000.0,64073000000.0,423160000000.0,17756000000.0,38105000000.0,201892000000.0,595692000000.0,156089000000.0,341012000000.0,291907000000.0,73604000000.0,188112000000.0,179914000000.0,15000000000.0
2019-03-31,17843000000.0,46067000000.0,560599000000.0,352921000000.0,39139000000.0,152000000.0,120839000000.0,952659000000.0,47586000000.0,60075000000.0,223940000000.0,49009000000.0,35328000000.0,17689000000.0,29304000000.0,425894000000.0,16825000000.0,42644000000.0,182124000000.0,573096000000.0,161907000000.0,335078000000.0,306747000000.0,60548000000.0,176970000000.0,196669000000.0,
2018-03-31,19330000000.0,45986000000.0,552314000000.0,330635000000.0,35910000000.0,137000000.0,115136000000.0,918859000000.0,47586000000.0,67301000000.0,195517000000.0,49590000000.0,41546000000.0,3133000000.0,33372000000.0,405236000000.0,2263000000.0,48830000000.0,174600000000.0,536234000000.0,185562000000.0,311305000000.0,285804000000.0,74435000000.0,149757000000.0,183976000000.0,20000000000.0
