,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Good Will,Short Long Term Debt
2021-03-31,31656000000.0,107397000000.0,706213000000.0,550908000000.0,34179000000.0,18841000000.0,1291300000000.0,45591000000.0,3208000000.0,404281000000.0,114519000000.0,-6361000000.0,14228000000.0,118645000000.0,368446000000.0,14225000000.0,-5933000000.0,463344000000.0,600639000000.0,181433000000.0,519252000000.0,3394000000.0,292520000000.0,223248000000.0,182872000000.0,286634000000.0,,
2020-03-31,25019000000.0,107273000000.0,712663000000.0,499343000000.0,32207000000.0,16353000000.0,1244213000000.0,45591000000.0,4276000000.0,370228000000.0,95635000000.0,-23749000000.0,14666000000.0,134852000000.0,364983000000.0,14663000000.0,-23323000000.0,461513000000.0,607700000000.0,127070000000.0,466079000000.0,3857000000.0,273894000000.0,252045000000.0,190821000000.0,272551000000.0,8245000000.0,14331000000.0
2019-03-31,27565000000.0,107000000000.0,696740000000.0,536477000000.0,34602000000.0,65565000000.0,1267819000000.0,45591000000.0,48270000000.0,366891000000.0,83495000000.0,16995000000.0,17958000000.0,135542000000.0,400198000000.0,17589000000.0,17418000000.0,465324000000.0,647158000000.0,102231000000.0,501329000000.0,14000000.0,279715000000.0,212380000000.0,183617000000.0,221034000000.0,7583000000.0,17610000000.0
2018-03-31,23456000000.0,106276000000.0,704476000000.0,533017000000.0,39573000000.0,68481000000.0,1277066000000.0,45591000000.0,57018000000.0,357356000000.0,94096000000.0,23794000000.0,16828000000.0,135104000000.0,398302000000.0,16486000000.0,24214000000.0,466683000000.0,652615000000.0,109239000000.0,501316000000.0,4000000.0,285412000000.0,211624000000.0,175077000000.0,215619000000.0,8245000000.0,32976000000.0
