,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-03-31,25973000000.0,12638000000.0,257175000000.0,395132000000.0,13908000000.0,37436000000.0,666215000000.0,17117000000.0,10181000000.0,332342000000.0,59902000000.0,42743000000.0,33035000000.0,9061000000.0,49710000000.0,131058000000.0,9059000000.0,44207000000.0,208487000000.0,238980000000.0,140971000000.0,326416000000.0,7523000000.0,91712000000.0,35226000000.0,79854000000.0,53730000000.0
2019-03-31,5446000000.0,12882000000.0,175907000000.0,404104000000.0,14743000000.0,30372000000.0,594754000000.0,17117000000.0,9499000000.0,319705000000.0,54330000000.0,5016000000.0,54400000000.0,6067000000.0,101974000000.0,114806000000.0,6064000000.0,65803000000.0,156317000000.0,268170000000.0,153738000000.0,393642000000.0,7336000000.0,76013000000.0,6771000000.0,73348000000.0,54936000000.0
2018-03-31,6786000000.0,12894000000.0,179699000000.0,399467000000.0,14327000000.0,28583000000.0,593493000000.0,17117000000.0,14585000000.0,306415000000.0,58247000000.0,5623000000.0,63041000000.0,3046000000.0,91635000000.0,114258000000.0,3045000000.0,74736000000.0,150942000000.0,265442000000.0,161654000000.0,387058000000.0,7857000000.0,79483000000.0,7194000000.0,71882000000.0,58492000000.0
2017-03-31,8039000000.0,12898000000.0,150764000000.0,393795000000.0,13009000000.0,21503000000.0,557568000000.0,17117000000.0,12907000000.0,293165000000.0,55964000000.0,7050000000.0,70615000000.0,3543000000.0,85458000000.0,89833000000.0,3541000000.0,72641000000.0,144840000000.0,238858000000.0,155238000000.0,378706000000.0,7094000000.0,69387000000.0,4967000000.0,64012000000.0,40320000000.0
