,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Inventory,Accounts Payable
2021-02-28,5326000000.0,24632000000.0,145304000000.0,200629000000.0,34731000000.0,345933000000.0,15434000000.0,15207000000.0,167983000000.0,16913000000.0,-7420000000.0,9843000000.0,86845000000.0,128391000000.0,9839000000.0,1878000000.0,82209000000.0,213871000000.0,34684000000.0,195303000000.0,9000000000.0,31654000000.0,71165000000.0,91061000000.0
2020-02-29,3542000000.0,24632000000.0,131008000000.0,182749000000.0,31345000000.0,313757000000.0,15434000000.0,13670000000.0,151807000000.0,15229000000.0,-9124000000.0,8609000000.0,81347000000.0,115779000000.0,8603000000.0,173000000.0,74276000000.0,196883000000.0,30447000000.0,179207000000.0,10000000000.0,28198000000.0,63668000000.0,82479000000.0
2019-02-28,2998000000.0,24632000000.0,98919000000.0,166562000000.0,25830000000.0,265481000000.0,15434000000.0,13099000000.0,135661000000.0,13509000000.0,-9165000000.0,5754000000.0,65311000000.0,85410000000.0,5749000000.0,131000000.0,61702000000.0,170866000000.0,24161000000.0,163564000000.0,13000000000.0,19782000000.0,59674000000.0,58241000000.0
2018-02-28,2965000000.0,24632000000.0,91943000000.0,162046000000.0,26841000000.0,253989000000.0,15434000000.0,11765000000.0,122102000000.0,12566000000.0,-122000000.0,5206000000.0,75676000000.0,79377000000.0,5198000000.0,-75000000.0,51507000000.0,173426000000.0,20885000000.0,159081000000.0,16000000000.0,17257000000.0,52728000000.0,51165000000.0
