,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-03-31,8459000000.0,65042000000.0,131561000000.0,202539000000.0,26301000000.0,334100000000.0,48592000000.0,6331000000.0,118347000000.0,6646000000.0,-29442000000.0,7452000000.0,71696000000.0,87068000000.0,7452000000.0,25000000000.0,-4567000000.0,59580000000.0,227386000000.0,31223000000.0,194080000000.0,48000000000.0,48209000000.0,37847000000.0,53150000000.0,23603000000.0
2019-03-31,8978000000.0,65058000000.0,145936000000.0,211594000000.0,30883000000.0,357530000000.0,48592000000.0,8143000000.0,111757000000.0,4185000000.0,-13813000000.0,8451000000.0,73714000000.0,82763000000.0,8451000000.0,10003000000.0,6143000000.0,56805000000.0,238616000000.0,44680000000.0,202616000000.0,50000000000.0,52485000000.0,58988000000.0,54274000000.0,28522000000.0
2018-03-31,7036000000.0,65058000000.0,157707000000.0,206691000000.0,32970000000.0,364398000000.0,48592000000.0,14495000000.0,101938000000.0,7457000000.0,-8897000000.0,2816000000.0,66441000000.0,93737000000.0,2816000000.0,16500000000.0,11052000000.0,58032000000.0,243800000000.0,52714000000.0,199655000000.0,48500000000.0,64683000000.0,56513000000.0,49681000000.0,30752000000.0
2017-03-31,6784000000.0,65058000000.0,155120000000.0,196332000000.0,29232000000.0,351452000000.0,48592000000.0,14895000000.0,92228000000.0,8602000000.0,-9546000000.0,3227000000.0,55197000000.0,75495000000.0,3227000000.0,2000000000.0,10396000000.0,56791000000.0,233447000000.0,51203000000.0,189548000000.0,43920000000.0,67177000000.0,71023000000.0,52258000000.0,31751000000.0
