,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Inventory,Accounts Payable,Capital Surplus
2021-03-31,9432000000.0,67089000000.0,225505000000.0,15792000000.0,35976000000.0,308386000000.0,4848000000.0,4954000000.0,222354000000.0,4779000000.0,4720000000.0,-1697000000.0,11129000000.0,80051000000.0,61608000000.0,4729000000.0,7398000000.0,62890000000.0,205031000000.0,15184000000.0,211353000000.0,23340000000.0,39349000000.0,57337000000.0,6733000000.0,
2020-03-31,8980000000.0,68404000000.0,223633000000.0,16569000000.0,24730000000.0,308606000000.0,4848000000.0,7149000000.0,223665000000.0,8016000000.0,5794000000.0,-4895000000.0,6274000000.0,97556000000.0,59676000000.0,6272000000.0,4208000000.0,66022000000.0,204438000000.0,17098000000.0,208859000000.0,,38294000000.0,61439000000.0,21709000000.0,15000000.0
2019-03-31,8994000000.0,75322000000.0,208822000000.0,16018000000.0,25713000000.0,300162000000.0,4848000000.0,5385000000.0,207821000000.0,8378000000.0,6675000000.0,-3847000000.0,7575000000.0,94385000000.0,66107000000.0,7574000000.0,5255000000.0,56896000000.0,205241000000.0,14781000000.0,193153000000.0,,44690000000.0,60781000000.0,28850000000.0,
2018-03-31,8754000000.0,72939000000.0,184083000000.0,14523000000.0,27188000000.0,271545000000.0,4848000000.0,8960000000.0,180514000000.0,9634000000.0,7629000000.0,-1279000000.0,1003000000.0,83637000000.0,62821000000.0,1002000000.0,7819000000.0,48011000000.0,193164000000.0,12984000000.0,167700000000.0,8274000000.0,41355000000.0,50938000000.0,25383000000.0,
