,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Long Term Debt,Accounts Payable,Net Receivables
2020-03-31,14593000000.0,122134000000.0,14680603000000.0,929333000000.0,70900000000.0,15609936000000.0,145069000000.0,80337000000.0,641387000000.0,214377000000.0,20743000000.0,10892027000000.0,1928656000000.0,13538534000000.0,4776000000.0,69937000000.0,116118000000.0,2447365000000.0,2139833000000.0,914740000000.0,19999000000.0,927692000000.0,13216977000000.0,
2019-03-31,12870000000.0,122134000000.0,14011862000000.0,952267000000.0,62311000000.0,14964129000000.0,145069000000.0,93496000000.0,621548000000.0,140438000000.0,63516000000.0,10416571000000.0,1982787000000.0,13377633000000.0,4503000000.0,119776000000.0,107017000000.0,2384866000000.0,2042805000000.0,939397000000.0,100443000000.0,493791000000.0,12847994000000.0,3642000000.0
2018-03-31,11858000000.0,122134000000.0,13438579000000.0,943236000000.0,61053000000.0,14381815000000.0,145069000000.0,92622000000.0,600931000000.0,146535000000.0,75102000000.0,10055705000000.0,1697708000000.0,12842962000000.0,4535000000.0,134358000000.0,99476000000.0,2093459000000.0,2121317000000.0,931378000000.0,162489000000.0,449082000000.0,12468379000000.0,2860000000.0
2017-03-31,10942000000.0,122134000000.0,13195193000000.0,900550000000.0,64355000000.0,14095743000000.0,145069000000.0,97411000000.0,566050000000.0,141548000000.0,67297000000.0,9579058000000.0,1614300000000.0,12656874000000.0,5326000000.0,119516000000.0,101185000000.0,2059712000000.0,2344846000000.0,889608000000.0,207213000000.0,396771000000.0,11984784000000.0,4373000000.0
