,Intangible Assets,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Retained Earnings
2020-03-28,808892000.0,2268017000.0,4292665000.0,55836000.0,6560682000.0,4290377000.0,37840600.0,103706000.0,2614274000.0,2288000.0,100189000.0,714939000.0,539003000.0,45754000.0,5064000.0,2288000.0,1324310000.0,1690502000.0,22515000.0,869499000.0,459000.0,382193400.0,1566808000.0,517198000.0,246954000.0,
2019-03-30,408210000.0,1448345000.0,4359679000.0,50325000.0,5808024000.0,4687455000.0,35233800.0,91796000.0,2173889000.0,-6624000.0,76785000.0,711035000.0,435614000.0,30017000.0,80000.0,-6624000.0,1366513000.0,1684841000.0,97786000.0,1777580000.0,901000.0,400112200.0,919190000.0,511793000.0,233307000.0,-321152000.0
2018-03-31,860336000.0,1605955000.0,4775564000.0,67004000.0,6381519000.0,5237085000.0,30815000.0,181386000.0,2173889000.0,-2752000.0,65612000.0,926037000.0,441279000.0,22394000.0,,-2752000.0,1374112000.0,1843805000.0,63765000.0,1741339000.0,,390752000.0,983290000.0,472292000.0,213193000.0,-458769000.0
2017-04-01,1400563000.0,1625601000.0,4896722000.0,33598000.0,6522323000.0,5357394000.0,26264000.0,217619000.0,2173914000.0,-4306000.0,58815000.0,545463000.0,418828000.0,17550000.0,,-4306000.0,1391932000.0,1461605000.0,35494000.0,1322245000.0,,423195000.0,989154000.0,430454000.0,216246000.0,-456366000.0
