,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2021-03-31,8922000000.0,128954000000.0,493989000000.0,2815153000000.0,71473000000.0,156842000000.0,3380615000000.0,119419000000.0,59088000000.0,2616081000000.0,114757000000.0,-49301000000.0,141062000000.0,801596000000.0,363246000000.0,58703000000.0,-36689000000.0,1165149000000.0,1914909000000.0,150573000000.0,2806231000000.0,351325000000.0,337868000000.0,15986000000.0,365032000000.0,125410000000.0
2020-03-31,10099000000.0,128323000000.0,507344000000.0,2654214000000.0,68927000000.0,155376000000.0,3230485000000.0,119419000000.0,52726000000.0,2413769000000.0,114426000000.0,-7297000000.0,63737000000.0,836448000000.0,377794000000.0,63735000000.0,-174000000.0,1119915000000.0,1824519000000.0,212215000000.0,2644115000000.0,251377000000.0,318303000000.0,15124000000.0,365665000000.0,136442000000.0
2019-03-31,8740000000.0,128299000000.0,506163000000.0,2466740000000.0,65814000000.0,165220000000.0,3038717000000.0,119419000000.0,47531000000.0,2283760000000.0,106685000000.0,-64738000000.0,59154000000.0,826680000000.0,391854000000.0,59154000000.0,29964000000.0,987960000000.0,1750469000000.0,232394000000.0,2458000000000.0,215444000000.0,331322000000.0,7624000000.0,329492000000.0,141027000000.0
2018-03-31,9405000000.0,129937000000.0,495304000000.0,2351766000000.0,61258000000.0,166199000000.0,2908328000000.0,119419000000.0,84792000000.0,2070779000000.0,104121000000.0,31631000000.0,21586000000.0,854506000000.0,382753000000.0,21584000000.0,61838000000.0,899728000000.0,1739392000000.0,238217000000.0,2342361000000.0,197339000000.0,320679000000.0,8430000000.0,282076000000.0,136834000000.0
