,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt
2020-06-30,894000000.0,1137000000.0,5305000000.0,908000000.0,325000000.0,6213000000.0,159000000.0,2000000.0,3567000000.0,817000000.0,1577000000.0,-3955000000.0,251000000.0,871000000.0,1418000000.0,-640000000.0,1408000000.0,2020000000.0,63000000.0,-1563000000.0,648000000.0,2780000000.0,454000000.0,575000000.0,
2019-06-30,912000000.0,1046000000.0,4557000000.0,559000000.0,264000000.0,5116000000.0,159000000.0,1000000.0,3150000000.0,830000000.0,1591000000.0,-3796000000.0,217000000.0,111000000.0,1440000000.0,-602000000.0,1034000000.0,1305000000.0,57000000.0,-1944000000.0,631000000.0,2287000000.0,512000000.0,507000000.0,
2018-06-30,929000000.0,975000000.0,4334000000.0,726000000.0,249000000.0,5060000000.0,159000000.0,7000000.0,2797000000.0,850000000.0,1602000000.0,-3205000000.0,167000000.0,131000000.0,1200000000.0,-547000000.0,996000000.0,1311000000.0,55000000.0,-1805000000.0,600000000.0,2284000000.0,506000000.0,507000000.0,
2017-06-30,722000000.0,928000000.0,4031000000.0,542000000.0,225000000.0,4573000000.0,159000000.0,2000000.0,2440000000.0,831000000.0,1196000000.0,-2985000000.0,152000000.0,418000000.0,1809000000.0,-543000000.0,931000000.0,1514000000.0,58000000.0,-1376000000.0,565000000.0,1391000000.0,459000000.0,501000000.0,400000000.0
