,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Deferred Long Term Liab
2020-03-31,241864000000.0,51858000000.0,486473000000.0,754813000000.0,69000000.0,37467000000.0,1241355000000.0,38716000000.0,4906000000.0,705765000000.0,52623000000.0,219642000000.0,-41526000000.0,27310000000.0,166898000000.0,211845000000.0,27307000000.0,9999000000.0,-27423000000.0,264407000000.0,460607000000.0,27525000000.0,293307000000.0,397000000.0,133473000000.0,195869000000.0,147147000000.0,88044000000.0,
2019-03-31,244685000000.0,52029000000.0,422678000000.0,698034000000.0,78000000.0,34384000000.0,1120790000000.0,38716000000.0,6321000000.0,646223000000.0,54632000000.0,224200000000.0,-38934000000.0,24627000000.0,122982000000.0,142912000000.0,24624000000.0,,-6553000000.0,201986000000.0,398722000000.0,26570000000.0,229149000000.0,1744000000.0,128462000000.0,225134000000.0,134106000000.0,81476000000.0,
2018-03-31,235006000000.0,52445000000.0,528546000000.0,550307000000.0,128000000.0,40889000000.0,1078981000000.0,38716000000.0,4318000000.0,588932000000.0,60758000000.0,207654000000.0,-129786000000.0,23360000000.0,167832000000.0,179013000000.0,23356000000.0,47436000000.0,-28240000000.0,179196000000.0,410912000000.0,22853000000.0,107647000000.0,659000000.0,121932000000.0,288775000000.0,112064000000.0,67515000000.0,
2017-03-31,237383000000.0,50928000000.0,531853000000.0,489451000000.0,101000000.0,68288000000.0,1021405000000.0,38716000000.0,29006000000.0,459261000000.0,72521000000.0,217334000000.0,-59454000000.0,10898000000.0,105388000000.0,248389000000.0,6727000000.0,7853000000.0,48771000000.0,183122000000.0,349183000000.0,23485000000.0,34734000000.0,,108078000000.0,210713000000.0,106711000000.0,38451000000.0,4169000000.0
