,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Term Investments
2020-03-31,5106000000.0,73549000000.0,839894000000.0,415322000000.0,27173000000.0,31205000000.0,1282389000000.0,63832000000.0,87164000000.0,291959000000.0,92870000000.0,2436000000.0,-14018000000.0,33837000000.0,82545000000.0,216694000000.0,33835000000.0,139074000000.0,5776000000.0,15156000000.0,1213402000000.0,12452000000.0,407780000000.0,1043651000000.0,529688000000.0,42000000.0,682000000.0,
2019-03-31,5437000000.0,73549000000.0,920407000000.0,356174000000.0,25327000000.0,86014000000.0,1301908000000.0,63832000000.0,91330000000.0,237058000000.0,107325000000.0,3250000000.0,-18265000000.0,36119000000.0,85546000000.0,326824000000.0,36117000000.0,188233000000.0,1529000000.0,17864000000.0,1222821000000.0,16417000000.0,347487000000.0,1045402000000.0,485362000000.0,64000000.0,509000000.0,479000000.0
2018-03-31,7147000000.0,73578000000.0,936415000000.0,322915000000.0,21521000000.0,84457000000.0,1280851000000.0,63832000000.0,122654000000.0,202410000000.0,115219000000.0,4063000000.0,-16905000000.0,438000000.0,91884000000.0,331995000000.0,436000000.0,205594000000.0,2889000000.0,22800000000.0,1229028000000.0,17375000000.0,311705000000.0,1013526000000.0,488051000000.0,60000000.0,500000000.0,904000000.0
2017-03-31,5126000000.0,73578000000.0,961706000000.0,250005000000.0,17219000000.0,80909000000.0,1228930000000.0,63832000000.0,108685000000.0,131837000000.0,173900000000.0,5474000000.0,-19242000000.0,67000000.0,104939000000.0,257134000000.0,66000000.0,142907000000.0,552000000.0,22739000000.0,1177815000000.0,17709000000.0,239405000000.0,963852000000.0,530343000000.0,79000000.0,413000000.0,260000000.0
