,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable
2020-12-31,805000000.0,1328000000.0,16753000000.0,10789000000.0,3077000000.0,27542000000.0,397000000.0,815000000.0,10085000000.0,10409000000.0,-1021000000.0,1397000000.0,900000000.0,5516000000.0,769000000.0,213000000.0,3754000000.0,21373000000.0,10789000000.0,1974000000.0,788000000.0,2368000000.0
2019-12-31,774000000.0,1306000000.0,15544000000.0,9864000000.0,2788000000.0,25408000000.0,397000000.0,907000000.0,9257000000.0,11871000000.0,-1096000000.0,1279000000.0,767000000.0,2827000000.0,448000000.0,207000000.0,3582000000.0,19566000000.0,9864000000.0,1854000000.0,789000000.0,
2018-12-31,738000000.0,1281000000.0,14102000000.0,7833000000.0,2516000000.0,21935000000.0,397000000.0,616000000.0,7625000000.0,10720000000.0,-1470000000.0,1140000000.0,784000000.0,2548000000.0,22000000.0,195000000.0,3159000000.0,16703000000.0,7833000000.0,1715000000.0,788000000.0,
2017-12-31,670000000.0,1265000000.0,13600000000.0,8243000000.0,2404000000.0,21843000000.0,397000000.0,566000000.0,5180000000.0,10345000000.0,1401000000.0,1090000000.0,657000000.0,2428000000.0,2788000000.0,185000000.0,2915000000.0,16983000000.0,8243000000.0,1650000000.0,787000000.0,
