,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt,Short Term Investments
2020-03-31,37430000000.0,67970000000.0,589444000000.0,156157000000.0,12221000000.0,52285000000.0,757822000000.0,54346000000.0,35698000000.0,62138000000.0,57341000000.0,-28297000000.0,6037000000.0,77568000000.0,286963000000.0,6035000000.0,-27510000000.0,262643000000.0,405799000000.0,45913000000.0,118727000000.0,109611000000.0,245140000000.0,182922000000.0,117359000000.0,,
2019-03-31,31339000000.0,67970000000.0,594346000000.0,230155000000.0,16249000000.0,59947000000.0,840750000000.0,54346000000.0,33276000000.0,112777000000.0,50737000000.0,-4938000000.0,10243000000.0,90243000000.0,289697000000.0,10241000000.0,-4149000000.0,279863000000.0,455279000000.0,64026000000.0,198816000000.0,137256000000.0,253912000000.0,194504000000.0,133158000000.0,,
2018-03-31,25044000000.0,67970000000.0,570293000000.0,253402000000.0,16356000000.0,63575000000.0,840051000000.0,54346000000.0,43178000000.0,127886000000.0,51882000000.0,3200000000.0,4130000000.0,88683000000.0,316511000000.0,4129000000.0,4016000000.0,288059000000.0,460102000000.0,62716000000.0,228358000000.0,148504000000.0,201900000000.0,179737000000.0,133828000000.0,,
2017-03-31,,66943000000.0,553841000000.0,229243000000.0,15807000000.0,63954000000.0,798891000000.0,54347000000.0,41885000000.0,114158000000.0,49703000000.0,-6205000000.0,24963000000.0,79284000000.0,315028000000.0,5150000000.0,-5398000000.0,284612000000.0,434929000000.0,54387000000.0,229243000000.0,141560000000.0,189110000000.0,171482000000.0,117394000000.0,66947000000.0,718000000.0
