,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-03-31,4181000000.0,23288000000.0,281458000000.0,407091000000.0,40146000000.0,50923000000.0,728695000000.0,23335000000.0,13452000000.0,351622000000.0,98079000000.0,8846000000.0,15222000000.0,82400000000.0,165938000000.0,12553000000.0,9076000000.0,251076000000.0,312952000000.0,145264000000.0,402910000000.0,136287000000.0,17441000000.0,80813000000.0,44915000000.0
2019-03-31,4760000000.0,23244000000.0,299635000000.0,444177000000.0,41321000000.0,59407000000.0,785133000000.0,23335000000.0,15305000000.0,362604000000.0,99011000000.0,34994000000.0,16853000000.0,80798000000.0,181061000000.0,13773000000.0,35220000000.0,262496000000.0,327828000000.0,173196000000.0,439417000000.0,145011000000.0,19563000000.0,86714000000.0,44557000000.0
2018-03-31,4061000000.0,22837000000.0,295604000000.0,459655000000.0,40238000000.0,59971000000.0,795497000000.0,23335000000.0,20996000000.0,367822000000.0,100021000000.0,45661000000.0,8247000000.0,89457000000.0,185652000000.0,4802000000.0,45984000000.0,257348000000.0,348409000000.0,177432000000.0,455594000000.0,149186000000.0,9931000000.0,88770000000.0,57571000000.0
2017-03-31,4337000000.0,22759000000.0,296687000000.0,418665000000.0,36445000000.0,59439000000.0,751797000000.0,23335000000.0,18420000000.0,341188000000.0,94837000000.0,31383000000.0,9913000000.0,91726000000.0,184060000000.0,6121000000.0,32540000000.0,243943000000.0,339655000000.0,153949000000.0,414328000000.0,153414000000.0,17790000000.0,76095000000.0,60169000000.0
