,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Long Term Debt,Accounts Payable
2020-03-31,84368000000.0,580595000000.0,53909646000000.0,2556323000000.0,34583000000.0,890761000000.0,56500552000000.0,261608000000.0,562993000000.0,1495029000000.0,1309488000000.0,45087000000.0,219091000000.0,32546996000000.0,13141192000000.0,40867754000000.0,14564000000.0,221946000000.0,213547000000.0,16173250000000.0,7437304000000.0,2426868000000.0,1961419000000.0,11732404000000.0,36549212000000.0
2019-03-31,91337000000.0,645003000000.0,54298759000000.0,2654522000000.0,75832000000.0,815778000000.0,57029113000000.0,261608000000.0,595336000000.0,1387592000000.0,1169227000000.0,60092000000.0,360319000000.0,31809494000000.0,16045864000000.0,42214627000000.0,17372000000.0,411541000000.0,211312000000.0,18014724000000.0,6842154000000.0,2503093000000.0,918546000000.0,10914905000000.0,38232194000000.0
2018-03-31,116197000000.0,645016000000.0,65484474000000.0,2625466000000.0,246858000000.0,775078000000.0,68356798000000.0,261608000000.0,535841000000.0,1263415000000.0,1159679000000.0,81038000000.0,455427000000.0,30972307000000.0,28841328000000.0,47371973000000.0,23127000000.0,497651000000.0,214386000000.0,30479289000000.0,6493581000000.0,2428231000000.0,738826000000.0,16952822000000.0,43915175000000.0
2017-03-31,124298000000.0,645048000000.0,62662045000000.0,2463192000000.0,328488000000.0,824889000000.0,65453725000000.0,261608000000.0,475849000000.0,1159028000000.0,1335016000000.0,90492000000.0,397508000000.0,30497601000000.0,26944478000000.0,46190984000000.0,23243000000.0,431569000000.0,225814000000.0,28481231000000.0,6034289000000.0,2248402000000.0,564341000000.0,15136045000000.0,43327431000000.0
