,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-12-31,8015663000.0,31880462000.0,14063566000.0,155570000.0,5493330000.0,1177344000.0,46099598000.0,1789092000.0,1076556000.0,4613201000.0,11239362000.0,4445988000.0,-354390000.0,6063184000.0,106599000.0,4915012000.0,1096396000.0,-76411000.0,30937723000.0,3130143000.0,1522560000.0,9617578000.0,1428950000.0,15622788000.0,265599000.0,1370647000.0
2019-12-31,7087768000.0,28338351000.0,12629994000.0,155570000.0,4863639000.0,1178286000.0,41123915000.0,1729292000.0,651112000.0,4177048000.0,10372438000.0,4427266000.0,-364114000.0,5371977000.0,15432000.0,3605563000.0,370621000.0,-65059000.0,27635370000.0,2414539000.0,1274763000.0,8202728000.0,1170389000.0,14310950000.0,235471000.0,1147872000.0
2018-12-31,6241222000.0,26598869000.0,11486817000.0,155570000.0,4631137000.0,1169936000.0,38241256000.0,1669392000.0,514779000.0,3953974000.0,9643178000.0,4427266000.0,-377771000.0,5055444000.0,108068000.0,4112882000.0,889651000.0,-60000000.0,25610428000.0,2292224000.0,855894000.0,7059551000.0,1170340000.0,12832074000.0,238042000.0,1119995000.0
2017-12-31,6239940000.0,24978574000.0,11086242000.0,155570000.0,4497447000.0,857893000.0,36220386000.0,1669392000.0,985818000.0,3561084000.0,9603742000.0,4427266000.0,-384174000.0,4848839000.0,38165000.0,3589045000.0,549631000.0,-66403000.0,23617463000.0,2487099000.0,839719000.0,6658976000.0,1126444000.0,11775889000.0,223063000.0,1085034000.0
