,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Inventory,Accounts Payable,Short Long Term Debt,Short Term Investments,Long Term Debt
2020-03-31,11719000000.0,52004000000.0,165134000000.0,449293000000.0,5392000000.0,70446000000.0,619819000000.0,10000000000.0,34661000000.0,394699000000.0,22628000000.0,15704000000.0,-7410000000.0,27314000000.0,189856000000.0,142506000000.0,27313000000.0,-3776000000.0,96906000000.0,383662000000.0,84514000000.0,421870000000.0,82356000000.0,76789000000.0,70169000000.0,,,
2019-03-31,11845000000.0,52308000000.0,183312000000.0,429031000000.0,612000000.0,99461000000.0,612955000000.0,10000000000.0,26099000000.0,369315000000.0,19242000000.0,,-2592000000.0,24968000000.0,205532000000.0,163893000000.0,24819000000.0,-294000000.0,87593000000.0,397951000000.0,90598000000.0,417186000000.0,92193000000.0,65070000000.0,63702000000.0,180000000.0,9057000000.0,138000000.0
2018-03-31,9475000000.0,52196000000.0,153136000000.0,386557000000.0,797000000.0,74060000000.0,540490000000.0,10000000000.0,21757000000.0,334264000000.0,16154000000.0,,-9903000000.0,22365000000.0,180059000000.0,136202000000.0,22246000000.0,-7577000000.0,86104000000.0,350618000000.0,71928000000.0,377082000000.0,86889000000.0,55682000000.0,61454000000.0,232000000.0,6231000000.0,715000000.0
2017-03-31,9686000000.0,52064000000.0,139249000000.0,348206000000.0,577000000.0,60115000000.0,488032000000.0,10000000000.0,30513000000.0,297984000000.0,13139000000.0,,-11842000000.0,12446000000.0,205516000000.0,126110000000.0,12444000000.0,-9419000000.0,52184000000.0,357782000000.0,55934000000.0,338520000000.0,75066000000.0,46687000000.0,64173000000.0,,,
