,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-09-30,54621000000.0,15747000000.0,186344000000.0,50908000000.0,13000000.0,9132000000.0,237265000000.0,100000000.0,1391000000.0,35156000000.0,18667000000.0,30371000000.0,-95000000.0,1000000.0,12665000000.0,78802000000.0,36701000000.0,-95000000.0,119667000000.0,21175000000.0,11430000000.0,-34084000000.0,290000000.0,5142000000.0,10018000000.0,1687000000.0,22150000000.0
2019-09-30,54560000000.0,15747000000.0,88982000000.0,47367000000.0,,7322000000.0,136349000000.0,100000000.0,964000000.0,31859000000.0,18213000000.0,30371000000.0,-339000000.0,,10341000000.0,33536000000.0,,-339000000.0,25579000000.0,15612000000.0,10227000000.0,-37564000000.0,316000000.0,2678000000.0,36658000000.0,1313000000.0,21256000000.0
2018-09-30,54688000000.0,15863000000.0,91227000000.0,40835000000.0,,7015000000.0,132062000000.0,100000000.0,885000000.0,25663000000.0,18320000000.0,30371000000.0,-791000000.0,1000000.0,12386000000.0,30793000000.0,,-791000000.0,22595000000.0,16528000000.0,7879000000.0,-44224000000.0,280000000.0,1634000000.0,40735000000.0,1343000000.0,18589000000.0
2017-09-30,54550000000.0,13573000000.0,93762000000.0,31853000000.0,-53000000.0,5732000000.0,125562000000.0,100000000.0,808000000.0,17730000000.0,19095000000.0,30371000000.0,450000000.0,1000000.0,8538000000.0,27722000000.0,,450000000.0,21169000000.0,11975000000.0,7496000000.0,-53068000000.0,241000000.0,1214000000.0,44747000000.0,1174000000.0,16719000000.0
