,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Good Will
2021-03-31,2381000000.0,25872000000.0,148984000000.0,255252000000.0,15023000000.0,15038000000.0,419259000000.0,22856000000.0,10862000000.0,198421000000.0,31610000000.0,8103000000.0,3442000000.0,74202000000.0,106652000000.0,3107000000.0,13429000000.0,93458000000.0,226003000000.0,93975000000.0,252871000000.0,2699000000.0,82575000000.0,10000000000.0,55665000000.0,58305000000.0,
2020-03-31,2270000000.0,25887000000.0,137466000000.0,228375000000.0,12648000000.0,18952000000.0,378489000000.0,22856000000.0,10412000000.0,191023000000.0,26367000000.0,-11391000000.0,3931000000.0,68512000000.0,100405000000.0,3598000000.0,-6022000000.0,98634000000.0,196892000000.0,76762000000.0,226105000000.0,2491000000.0,69076000000.0,10000000000.0,46401000000.0,47366000000.0,
2019-03-31,2269000000.0,25864000000.0,146122000000.0,228834000000.0,12600000000.0,21892000000.0,387556000000.0,22856000000.0,11358000000.0,181796000000.0,26427000000.0,-1682000000.0,3987000000.0,60698000000.0,109381000000.0,3614000000.0,3687000000.0,98947000000.0,210265000000.0,72088000000.0,226565000000.0,11606000000.0,81411000000.0,10000000000.0,45192000000.0,52229000000.0,
2018-03-31,2553000000.0,25654000000.0,150754000000.0,220071000000.0,12055000000.0,17520000000.0,382880000000.0,22856000000.0,18175000000.0,167619000000.0,33439000000.0,3942000000.0,2404000000.0,61566000000.0,107259000000.0,2032000000.0,9311000000.0,99351000000.0,198122000000.0,80418000000.0,217486000000.0,3304000000.0,76138000000.0,10000000000.0,38939000000.0,51522000000.0,32000000.0
