,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Deferred Long Term Liab
2020-03-31,2614000000.0,15757000000.0,68477000000.0,209344000000.0,675000000.0,13591000000.0,278496000000.0,14932000000.0,4386000000.0,184156000000.0,11495000000.0,748000000.0,-5501000000.0,1340000000.0,43222000000.0,38800000000.0,707000000.0,2370000000.0,85960000000.0,153102000000.0,34732000000.0,205982000000.0,4132000000.0,53747000000.0,18182000000.0,47615000000.0,15914000000.0,
2019-03-31,2493000000.0,17596000000.0,64529000000.0,216040000000.0,13002000000.0,15105000000.0,293571000000.0,14932000000.0,4215000000.0,182133000000.0,14339000000.0,1000000000.0,1379000000.0,689000000.0,42432000000.0,41412000000.0,667000000.0,11869000000.0,87246000000.0,161958000000.0,40185000000.0,212547000000.0,10773000000.0,54888000000.0,8778000000.0,49650000000.0,15575000000.0,21000000.0
2018-03-31,1763000000.0,17596000000.0,66963000000.0,208315000000.0,12287000000.0,14285000000.0,287565000000.0,14932000000.0,7987000000.0,172460000000.0,16640000000.0,1673000000.0,3327000000.0,419000000.0,42411000000.0,42746000000.0,344000000.0,13816000000.0,83228000000.0,160312000000.0,40170000000.0,204879000000.0,8584000000.0,55041000000.0,7577000000.0,46289000000.0,16236000000.0,58000000.0
2017-03-31,1822000000.0,17587000000.0,66927000000.0,194061000000.0,11803000000.0,16222000000.0,272791000000.0,14932000000.0,8656000000.0,162615000000.0,17405000000.0,553000000.0,-1073000000.0,434000000.0,44596000000.0,41321000000.0,319000000.0,9398000000.0,80230000000.0,153602000000.0,36150000000.0,191686000000.0,7634000000.0,47627000000.0,8201000000.0,45089000000.0,13782000000.0,87000000.0
