,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Long Term Debt,Accounts Payable
2020-03-31,49770000000.0,58195912000000.0,2078632000000.0,237910000000.0,449984000000.0,60512454000000.0,50472000000.0,470185000000.0,1720062000000.0,790794000000.0,308098000000.0,38031611000000.0,15329523000000.0,54389948000000.0,35385000000.0,320978000000.0,369790000000.0,16257099000000.0,5804184000000.0,2028862000000.0,3015170000000.0,53852819000000.0
2019-03-31,40597000000.0,56753899000000.0,2111338000000.0,244838000000.0,515423000000.0,59110075000000.0,50472000000.0,510194000000.0,1614908000000.0,860149000000.0,445958000000.0,37332711000000.0,14848528000000.0,52984588000000.0,28913000000.0,450171000000.0,380909000000.0,15686746000000.0,5669112000000.0,2070741000000.0,2909162000000.0,52303985000000.0
2018-03-31,30329000000.0,48140854000000.0,2085146000000.0,17789000000.0,490720000000.0,50243789000000.0,50472000000.0,549237000000.0,1522075000000.0,926456000000.0,512599000000.0,30055291000000.0,13419003000000.0,44472520000000.0,1692000000.0,517849000000.0,303088000000.0,14238879000000.0,5616202000000.0,2054817000000.0,2741878000000.0,43805191000000.0
2017-03-31,31377000000.0,46509355000000.0,1928924000000.0,17854000000.0,603383000000.0,48456133000000.0,50472000000.0,515034000000.0,1436150000000.0,934359000000.0,442302000000.0,28964005000000.0,12641987000000.0,42974859000000.0,1776000000.0,443483000000.0,304035000000.0,13505620000000.0,5651096000000.0,1897547000000.0,2600137000000.0,41640987000000.0
