,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Inventory,Accounts Payable,Short Long Term Debt,Long Term Debt
2021-03-31,29555000000.0,36813000000.0,505705000000.0,576367000000.0,7919000000.0,156282000000.0,1089991000000.0,127234000000.0,27509000000.0,431571000000.0,90238000000.0,-19251000000.0,52345000000.0,241523000000.0,389369000000.0,45625000000.0,20298000000.0,406312000000.0,528379000000.0,73400000000.0,546812000000.0,257068000000.0,2279000000.0,153860000000.0,,
2020-03-31,20965000000.0,36813000000.0,537905000000.0,555172000000.0,7662000000.0,136786000000.0,1100739000000.0,127234000000.0,28929000000.0,441746000000.0,93334000000.0,-50621000000.0,51335000000.0,197226000000.0,408811000000.0,45611000000.0,4149000000.0,423835000000.0,542884000000.0,61720000000.0,534207000000.0,312515000000.0,4214000000.0,147081000000.0,10000000000.0,14000000000.0
2019-03-31,20624000000.0,36813000000.0,550272000000.0,565840000000.0,7547000000.0,152050000000.0,1123659000000.0,127234000000.0,33035000000.0,431497000000.0,90207000000.0,-29704000000.0,48425000000.0,195954000000.0,410423000000.0,44385000000.0,9381000000.0,428918000000.0,550258000000.0,75434000000.0,545216000000.0,318023000000.0,3246000000.0,158938000000.0,,29500000000.0
2018-03-31,20131000000.0,36813000000.0,557847000000.0,550307000000.0,7279000000.0,127315000000.0,1115433000000.0,127234000000.0,49577000000.0,416854000000.0,88962000000.0,-30594000000.0,31320000000.0,204422000000.0,395037000000.0,28340000000.0,8487000000.0,405057000000.0,578880000000.0,80045000000.0,530176000000.0,322067000000.0,2814000000.0,155323000000.0,10000000000.0,70300000000.0
