,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-03-31,40468000000.0,134023000000.0,1727583000000.0,757002000000.0,52611000000.0,193193000000.0,2537196000000.0,121724000000.0,55300000000.0,524423000000.0,268359000000.0,-23168000000.0,23848000000.0,59389000000.0,725122000000.0,23846000000.0,35090000000.0,14123000000.0,1875506000000.0,345947000000.0,251427000000.0,716534000000.0,152981000000.0,734102000000.0,78277000000.0,103082000000.0
2019-03-31,37843000000.0,133763000000.0,1616714000000.0,745232000000.0,50930000000.0,179191000000.0,2412876000000.0,121724000000.0,40955000000.0,495343000000.0,260467000000.0,-5598000000.0,17852000000.0,34229000000.0,647760000000.0,17851000000.0,23138000000.0,22908000000.0,1793950000000.0,314244000000.0,248987000000.0,707389000000.0,164226000000.0,708487000000.0,74834000000.0,98811000000.0
2018-03-31,35633000000.0,133132000000.0,1517589000000.0,696525000000.0,50522000000.0,176269000000.0,2264636000000.0,121724000000.0,47573000000.0,442691000000.0,260121000000.0,-1022000000.0,7316000000.0,39007000000.0,618030000000.0,7314000000.0,25000000000.0,28070000000.0,1673502000000.0,320088000000.0,228097000000.0,660892000000.0,155641000000.0,639438000000.0,77867000000.0,99958000000.0
2017-03-31,33380000000.0,131842000000.0,1470224000000.0,628307000000.0,50074000000.0,151811000000.0,2148605000000.0,121724000000.0,41586000000.0,383565000000.0,252537000000.0,-8824000000.0,6595000000.0,40500000000.0,569754000000.0,6593000000.0,8000000000.0,20872000000.0,1605034000000.0,290545000000.0,213051000000.0,594927000000.0,138929000000.0,647933000000.0,69530000000.0,90074000000.0
