Date,6758.T,7203.T,9984.T,^N225,average
2017-01-04,10000,7231.513086174259,10000,10000.0,9307.878271543565
2017-01-05,10000,7231.513086174259,10000,10000.0,9307.878271543565
2017-01-06,10000,7231.513086174259,10000,10000.0,9307.878271543565
2017-01-10,10000,7231.513086174259,10000,10000.0,9307.878271543565
2017-01-11,10000,7231.513086174259,10000,10000.0,9307.878271543565
2017-01-12,10000,7231.513086174259,10000,10000.0,9307.878271543565
2017-01-13,10000,7231.513086174259,10000,10000.0,9307.878271543565
2017-01-16,10000,7231.513086174259,10000,10000.0,9307.878271543565
2017-01-17,10000,8276.154928671589,10000,10000.0,9569.038732167897
2017-01-18,10000,5206.627426772373,10000,10000.0,8801.656856693093
2017-01-19,10000,5206.627426772373,10000,10000.0,8801.656856693093
2017-01-20,10000,5206.627426772373,10000,10000.0,8801.656856693093
2017-01-23,10000,7023.734680662932,10000,10000.0,9255.933670165734
2017-01-24,10000,6378.676729508717,10000,10000.0,9094.66918237718
2017-01-25,10000,6378.676729508717,10000,10000.0,9094.66918237718
2017-01-26,10000,6378.676729508717,10000,10000.0,9094.66918237718
2017-01-27,10000,6378.676729508717,10000,10000.0,9094.66918237718
2017-01-30,10000,6378.676729508717,10000,10000.0,9094.66918237718
2017-01-31,10000,6378.676729508717,10000,10000.0,9094.66918237718
2017-02-01,10000,5095.43723354833,10000,10000.0,8773.859308387084
2017-02-02,10000,3648.43884431896,10000,10000.0,8412.10971107974
2017-02-03,10000,537.3567538804273,10000,10000.0,7634.339188470107
2017-02-06,10000,537.3567538804273,10000,10000.0,7634.339188470107
2017-02-07,10000,3409.32773396361,10000,10000.0,8352.331933490903
2017-02-08,10000,6916.746704881096,10000,10000.0,9229.186676220274
2017-02-09,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-02-10,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-02-13,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-02-14,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-02-15,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-02-16,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-02-17,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-02-20,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-02-21,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-02-22,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-02-23,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-02-24,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-02-27,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-02-28,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-03-01,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-03-02,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-03-03,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-03-06,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-03-07,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-03-08,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-03-09,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-03-10,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-03-13,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-03-14,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-03-15,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-03-16,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-03-17,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-03-21,10000,9693.671749849322,10000,10000.0,9923.41793746233
2017-03-22,10000,10822.343550613568,10000,10000.0,10205.585887653393
2017-03-23,10000,10822.343550613568,10000,10000.0,10205.585887653393
2017-03-24,10000,10822.343550613568,10000,10000.0,10205.585887653393
2017-03-27,10000,10822.343550613568,10000,10000.0,10205.585887653393
2017-03-28,10000,10822.343550613568,10000,10000.0,10205.585887653393
2017-03-29,10000,10822.343550613568,10000,10000.0,10205.585887653393
2017-03-30,10000,10822.343550613568,10000,10000.0,10205.585887653393
2017-03-31,10000,10822.343550613568,10000,10000.0,10205.585887653393
2017-04-03,10000,10822.343550613568,10000,10000.0,10205.585887653393
2017-04-04,10000,10822.343550613568,10000,10000.0,10205.585887653393
2017-04-05,10000,11366.377901902959,10000,10000.0,10341.59447547574
2017-04-06,10000,11263.553359805825,10000,10000.0,10315.888339951456
2017-04-07,10000,8350.58547921961,10000,10000.0,9587.646369804903
2017-04-10,10000,8350.58547921961,10000,10000.0,9587.646369804903
2017-04-11,10000,8350.58547921961,10000,10000.0,9587.646369804903
2017-04-12,10000,9505.75350199964,10000,10000.0,9876.43837549991
2017-04-13,10000,9172.415978660645,10000,10000.0,9793.103994665162
2017-04-14,10000,8612.489368521252,10000,10000.0,9653.122342130313
2017-04-17,10000,8956.143593391056,10000,10000.0,9739.035898347764
2017-04-18,10000,12607.272051188904,10000,10000.0,10651.818012797226
2017-04-19,10000,15578.397776187805,10000,10000.0,11394.599444046951
2017-04-20,10000,15578.397776187805,10000,10000.0,11394.599444046951
2017-04-21,10000,15578.397776187805,10000,10000.0,11394.599444046951
2017-04-24,10000,15578.397776187805,10000,10000.0,11394.599444046951
2017-04-25,10000,15578.397776187805,10000,10000.0,11394.599444046951
2017-04-26,10000,15578.397776187805,10000,10000.0,11394.599444046951
2017-04-27,10000,15578.397776187805,10000,10000.0,11394.599444046951
2017-04-28,10000,15578.397776187805,10000,10000.0,11394.599444046951
