,Research Development,Effect Of Accounting Charges,Income Before Tax,Minority Interest,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Other Operating Expenses,Interest Expense,Extraordinary Items,Non Recurring,Other Items,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Discontinued Operations,Net Income From Continuing Ops,Net Income Applicable To Common Shares
2021-03-31,,,52884000000.0,,38001000000.0,14068000000.0,60841000000.0,46773000000.0,46773000000.0,,,,,,14883000000.0,83862000000.0,37089000000.0,23021000000.0,6111000000.0,,38001000000.0,38001000000.0
2020-03-31,,,47905000000.0,,35096000000.0,12937000000.0,56329000000.0,45737000000.0,45737000000.0,,,,,,12809000000.0,80488000000.0,34751000000.0,24159000000.0,2168000000.0,,35096000000.0,35096000000.0
2019-03-31,,,43985000000.0,,32223000000.0,12890000000.0,50942000000.0,40000000000.0,40000000000.0,,,,,,11762000000.0,74163000000.0,34163000000.0,23221000000.0,3985000000.0,,32223000000.0,32223000000.0
2018-03-31,,,36325000000.0,,26268000000.0,12082000000.0,44518000000.0,33214000000.0,33214000000.0,,,,,,10057000000.0,66814000000.0,33600000000.0,22296000000.0,3111000000.0,,26268000000.0,26268000000.0
