,Research Development,Effect Of Accounting Charges,Income Before Tax,Minority Interest,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Other Operating Expenses,Interest Expense,Extraordinary Items,Non Recurring,Other Items,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Discontinued Operations,Net Income From Continuing Ops,Net Income Applicable To Common Shares
2020-03-31,,,47223000000.0,1040000000.0,34621000000.0,117005000000.0,168260000000.0,45162000000.0,45162000000.0,1191000000.0,-735000000.0,,,,12521000000.0,414227000000.0,369065000000.0,245967000000.0,2061000000.0,,34702000000.0,34621000000.0
2019-03-31,,,60483000000.0,1076000000.0,43753000000.0,122703000000.0,182125000000.0,56031000000.0,56031000000.0,785000000.0,-437000000.0,,,,16667000000.0,437416000000.0,381385000000.0,255291000000.0,4452000000.0,,43816000000.0,43753000000.0
2018-03-31,,,74470000000.0,1826000000.0,54378000000.0,122849000000.0,174502000000.0,48834000000.0,48834000000.0,612000000.0,-359000000.0,,,,20046000000.0,432967000000.0,384133000000.0,258465000000.0,25636000000.0,,54424000000.0,54378000000.0
2017-03-31,,,42897000000.0,2314000000.0,46719000000.0,119045000000.0,165797000000.0,44304000000.0,44304000000.0,612000000.0,-290000000.0,,,,-3978000000.0,408248000000.0,363944000000.0,242451000000.0,-1407000000.0,,46875000000.0,46719000000.0
