,Research Development,Effect Of Accounting Charges,Income Before Tax,Minority Interest,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Other Operating Expenses,Interest Expense,Extraordinary Items,Non Recurring,Other Items,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Discontinued Operations,Net Income From Continuing Ops,Net Income Applicable To Common Shares
2020-04-30,1817000000.0,,14367000000.0,1213000000.0,7793000000.0,200009000000.0,232755000000.0,19941000000.0,19941000000.0,,-352000000.0,,,,6422000000.0,483360000000.0,463419000000.0,250605000000.0,-5574000000.0,,7945000000.0,7793000000.0
2019-04-30,1833000000.0,,22485000000.0,1127000000.0,14462000000.0,204416000000.0,240375000000.0,22820000000.0,22820000000.0,,-462000000.0,,,,7752000000.0,504153000000.0,481333000000.0,263778000000.0,-335000000.0,,14733000000.0,14462000000.0
2018-04-30,1786000000.0,,20989000000.0,1116000000.0,12553000000.0,199298000000.0,233983000000.0,22044000000.0,22044000000.0,,-656000000.0,,,,8346000000.0,494793000000.0,472749000000.0,260810000000.0,-1055000000.0,,12643000000.0,12553000000.0
2017-04-30,1825000000.0,,20723000000.0,1122000000.0,13693000000.0,192263000000.0,226170000000.0,21775000000.0,21775000000.0,,-884000000.0,,,,6870000000.0,475866000000.0,454091000000.0,249696000000.0,-1052000000.0,,13853000000.0,13693000000.0
