,Research Development,Effect Of Accounting Charges,Income Before Tax,Minority Interest,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Other Operating Expenses,Interest Expense,Extraordinary Items,Non Recurring,Other Items,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Discontinued Operations,Net Income From Continuing Ops,Net Income Applicable To Common Shares
2020-04-30,,,1009000000.0,,827000000.0,1030000000.0,2127000000.0,1113000000.0,1113000000.0,-16000000.0,-82000000.0,,,,182000000.0,3363000000.0,2250000000.0,1236000000.0,-104000000.0,,827000000.0,827000000.0
2019-04-30,,,1042000000.0,,835000000.0,1059000000.0,2166000000.0,1116000000.0,1116000000.0,-9000000.0,-88000000.0,,,,207000000.0,3324000000.0,2208000000.0,1158000000.0,-74000000.0,,835000000.0,835000000.0
2018-04-30,,,977000000.0,,717000000.0,1179000000.0,2202000000.0,1030000000.0,1030000000.0,-7000000.0,-68000000.0,,,,260000000.0,3248000000.0,2218000000.0,1046000000.0,-53000000.0,,717000000.0,717000000.0
2017-04-30,,,933000000.0,,669000000.0,1050000000.0,2021000000.0,991000000.0,991000000.0,-20000000.0,-59000000.0,,,,264000000.0,2994000000.0,2003000000.0,973000000.0,-58000000.0,,669000000.0,669000000.0
