,Research Development,Effect Of Accounting Charges,Income Before Tax,Minority Interest,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Other Operating Expenses,Interest Expense,Extraordinary Items,Non Recurring,Other Items,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Discontinued Operations,Net Income From Continuing Ops,Net Income Applicable To Common Shares
2020-10-31,,,-49191000000.0,,-46652000000.0,45221000000.0,36348000000.0,-15246000000.0,-15246000000.0,,-1754000000.0,,,,-2308000000.0,268904000000.0,284150000000.0,232556000000.0,-33945000000.0,,-46883000000.0,-46652000000.0
2019-10-31,,,19344000000.0,220000000.0,12348000000.0,50908000000.0,78092000000.0,22322000000.0,22322000000.0,,-759000000.0,,,,6774000000.0,317438000000.0,295116000000.0,239346000000.0,-2978000000.0,,12570000000.0,12348000000.0
2018-10-31,,,21768000000.0,275000000.0,13852000000.0,45100000000.0,72283000000.0,22540000000.0,22540000000.0,,-814000000.0,,,,7604000000.0,298517000000.0,275977000000.0,226234000000.0,-772000000.0,,14164000000.0,13852000000.0
2017-10-31,,,20230000000.0,393000000.0,13440000000.0,37672000000.0,60189000000.0,20506000000.0,20506000000.0,,-335000000.0,,,,6727000000.0,232957000000.0,212451000000.0,172768000000.0,-276000000.0,,13503000000.0,13440000000.0
