,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock
2020-03-31,10997000000.0,-13999000000.0,-20944000000.0,11482000000.0,-18929000000.0,1767000000.0,23390000000.0,-9128000000.0,-10003000000.0,-1708000000.0,32455000000.0,16080000000.0,129000000.0,-17514000000.0,-1387000000.0,12318000000.0,-2894000000.0,-16113000000.0,-26263000000.0,
2019-03-31,-1555000000.0,10556000000.0,-31189000000.0,-5956000000.0,-31876000000.0,-3968000000.0,33420000000.0,-24169000000.0,-10004000000.0,-1085000000.0,39982000000.0,12359000000.0,-81000000.0,-15705000000.0,-14432000000.0,3869000000.0,-211000000.0,-16315000000.0,-13093000000.0,
2018-03-31,-13031000000.0,-465000000.0,-26950000000.0,-3541000000.0,-17184000000.0,851000000.0,29856000000.0,-10984000000.0,-6000000.0,744000000.0,32406000000.0,10080000000.0,-156000000.0,-13878000000.0,-4681000000.0,-5900000000.0,144000000.0,-10750000000.0,-14182000000.0,97000000.0
2017-03-31,14163000000.0,1975000000.0,-5505000000.0,-11608000000.0,-27972000000.0,-3247000000.0,25894000000.0,-11012000000.0,-6000000.0,-1727000000.0,26023000000.0,8949000000.0,720000000.0,-16045000000.0,2055000000.0,-2786000000.0,-506000000.0,-17142000000.0,-15306000000.0,193000000.0
