,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock
2020-03-31,-641000000.0,-2719000000.0,-17576000000.0,10340000000.0,-1987000000.0,1361000000.0,7612000000.0,9067000000.0,-5007000000.0,38000000.0,28592000000.0,17270000000.0,-1567000000.0,-7001000000.0,-6283000000.0,-319000000.0,-1368000000.0,-4919000000.0,
2019-03-31,-680000000.0,1975000000.0,-15141000000.0,-43206000000.0,-48165000000.0,-1920000000.0,24361000000.0,-20596000000.0,-5000000.0,356000000.0,42353000000.0,15861000000.0,-2114000000.0,-4677000000.0,-4872000000.0,-277000000.0,-11382000000.0,-2373000000.0,
2018-03-31,-1202000000.0,14159000000.0,-66732000000.0,55790000000.0,50186000000.0,1415000000.0,7769000000.0,20184000000.0,-1276000000.0,1727000000.0,35003000000.0,11957000000.0,1497000000.0,-4209000000.0,-10851000000.0,-168000000.0,-2255000000.0,-1949000000.0,49000000.0
2017-03-31,-170000000.0,14746000000.0,-9708000000.0,-4937000000.0,-11655000000.0,-3270000000.0,17820000000.0,18243000000.0,-3001000000.0,-10000000.0,39617000000.0,10023000000.0,-146000000.0,-3522000000.0,-7017000000.0,-195000000.0,-5065000000.0,-1285000000.0,49000000.0
