,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-03-31,1050000000.0,-6352000000.0,-29790000000.0,691000000.0,-115673000000.0,-5383000000.0,1304000000.0,125446000000.0,16915000000.0,-76675000000.0,10566000000.0,151812000000.0,36336000000.0,-1336000000.0,-33720000000.0,4017000000.0,-9788000000.0,-7273000000.0,-26236000000.0,-31246000000.0
2020-03-31,823000000.0,5152000000.0,-47384000000.0,-909000000.0,-85468000000.0,-4399000000.0,1277000000.0,114406000000.0,24584000000.0,-44283000000.0,-5930000000.0,163366000000.0,34374000000.0,-2533000000.0,-34042000000.0,-2300000000.0,4186000000.0,-7511000000.0,-20915000000.0,-45177000000.0
2019-03-31,-24175000000.0,4985000000.0,-70144000000.0,-285000000.0,-32792000000.0,8703000000.0,1600000000.0,122103000000.0,47562000000.0,-2000000.0,3910000000.0,146588000000.0,26416000000.0,-2155000000.0,-34141000000.0,-6128000000.0,-3066000000.0,36000000.0,-28979000000.0,-26672000000.0
2018-03-31,4465000000.0,4052000000.0,-68533000000.0,-35360000000.0,-117333000000.0,2950000000.0,2240000000.0,99494000000.0,-51016000000.0,-55034000000.0,-649000000.0,135499000000.0,28711000000.0,-1570000000.0,-29042000000.0,1763000000.0,-6562000000.0,-137000000.0,-19663000000.0,-17974000000.0
