,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Investments,Issuance Of Stock,Repurchase Of Stock
2021-03-31,-3049000000.0,-20586000000.0,-10300000000.0,-32488000000.0,-2460000000.0,33435000000.0,-2927000000.0,-71000000.0,50219000000.0,18433000000.0,-2846000000.0,-13526000000.0,2348000000.0,-3211000000.0,-8662000000.0,-8399000000.0,-12710000000.0,,,
2020-03-31,7061000000.0,-27338000000.0,-113000000.0,-16309000000.0,-1305000000.0,31201000000.0,5495000000.0,-19000000.0,48950000000.0,10786000000.0,-371000000.0,-11967000000.0,-1409000000.0,-1584000000.0,-4216000000.0,-8560000000.0,-9721000000.0,-1475000000.0,1000000.0,-14000000.0
2019-03-31,2078000000.0,-7163000000.0,10000000000.0,-19995000000.0,157000000.0,27892000000.0,6400000000.0,-21000000.0,33511000000.0,10560000000.0,-70000000.0,-10144000000.0,-2213000000.0,-7995000000.0,-19841000000.0,-8553000000.0,-12022000000.0,49000000.0,2000000.0,-12000000.0
2018-03-31,-1073000000.0,-35394000000.0,-15000000000.0,-25763000000.0,-3560000000.0,32488000000.0,-24137000000.0,-76000000.0,37096000000.0,10062000000.0,-383000000.0,-9883000000.0,-513000000.0,338000000.0,-860000000.0,-11647000000.0,-10042000000.0,-509000000.0,2000000.0,-22000000.0
